Author,Title,Era,Locus,Text,Poetry/Prose
"Cicero","Academica","Republic","","...litteris eruditi legant, philosophos non legant? an quia delectat Ennius Pacuvius Accius multi alii, qui non verba sed vim Graecorum expresserunt poetarum—quanto magis philosophi...","Poetry"
"Cicero","Letters To Atticus, Book 16","Republic","","...ante tuas litteras accepissem. delectari mihi Tereo videbatur et habere maiorem Accio quam Antonio gratiam. mihi autem quo laetiora sunt, eo plus stomachi et molestiae...","Poetry"
"Cicero","Letters To Atticus","Republic","","...ante tuas litteras accepissem. delectari mihi Tereo videbatur et habere maiorem Accio quam Antonio gratiam. mihi autem quo laetiora sunt, eo plus stomachi et molestiae...","Poetry"
"Cicero","Brutus","Republic","","...ait, quem nos sequimur. Est enim inter scriptores de numero annorum controversia. Accius autem a Q. Maximo' quintum consule captum Tarento scripsit Livium annis xxx post...","Poetry"
"Cicero","Brutus","Republic","","vester etiam D. Brutus M. filius, ut ex familiari eius  L. Accio poeta sum audire solitus, et dicere non inculte solebat et erat cum litteris Latinis tum etiam Graecis ut temporibus illis eruditus. Quae tribuebat idem Accius etiam Q. Maximo L. Paulli nepoti; et vero ante Maximum illum Scipionem, quo duce...","Poetry"
"Cicero","Brutus","Republic","","...multo maioribus natu quam essent ipsi et cum aliquanto minoribus compararentur. Vt Accius isdem  aedilibus ait se et Pacuvium docuisse fabulam, cum ille octoginta, ipse triginta...","Poetry"
"Cicero","Brutus","Republic","","...C. Cornelium, in quo et compositum dicendi genus et acre et expeditum fuit; T. Accium Pisaurensem, cuius accusationi respondi pro A. Cluentio, qui et accurate dicebat...","Poetry"
"Cicero","De Divinatione","Republic","","...propiora videamus. Cuiusnam modi est Superbi Tarquinii somnium, de quo in Bruto Accii loquitur ipse?","Poetry"
"Cicero","Epistulae Ad Familiares","Republic","","...'pinnigero, non armigero in corpore tela exerceantur,' ut ait Philoctetes apud Accium, 'abiecta gloria.'","Poetry"
"Cicero","Epistulae Ad Familiares, Book 7","Republic","","...'pinnigero, non armigero in corpore tela exerceantur,' ut ait Philoctetes apud Accium, 'abiecta gloria.'","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 4","Republic","","...Aristonem dicuntur a Chrysippo. ex ea difficultate illae 'fallaciloquae', ut ait Accius, malitiae natae sunt.","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...Aristonem dicuntur a Chrysippo. ex ea difficultate illae 'fallaciloquae', ut ait Accius, malitiae natae sunt.","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...vitam aucupio, 'sagittarum ictu configebat tardus celeres, stans volantis', ut apud Accium est, pennarumque contextu corpori tegumenta faciebat.","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 5","Republic","","...vitam aucupio, 'sagittarum ictu configebat tardus celeres, stans volantis', ut apud Accium est, pennarumque contextu corpori tegumenta faciebat.","Poetry"
"Cicero","De Natura Deorum","Republic","","utque ille apud Accium pastor, qui navem numquam ante vidisset, ut procul divinum et novum vehiculum Argonautarum...","Poetry"
"Cicero","De Natura Deorum, Book 2","Republic","","utque ille apud Accium pastor, qui navem numquam ante vidisset, ut procul divinum et novum vehiculum Argonautarum...","Poetry"
"Cicero","De Natura Deorum, Book 3","Republic","","...non video quo pacto ille, cui ""in monte Oetaeo inlatae lampades"" fuerint ut ait Accius, ""in domum aeternam patris"" ex illo ardore pervenerit; quem tamen Homerus apud inferos...","Poetry"
"Cicero","De Natura Deorum","Republic","","...non video quo pacto ille, cui ""in monte Oetaeo inlatae lampades"" fuerint ut ait Accius, ""in domum aeternam patris"" ex illo ardore pervenerit; quem tamen Homerus apud inferos...","Poetry"
"Cicero","De Officiis, Book 3","Republic","","...tantum mali turpitude ista habebat, quantum ille cruciatus? Deinde illud etiam apud Accium:  Fregistín fidem? Néque dedi neque do ínfideli cuíquam quamquam ab impio rege dicitur,...","Poetry"
"Cicero","De Officiis","Republic","","...tantum mali turpitude ista habebat, quantum ille cruciatus? Deinde illud etiam apud Accium:  Fregistín fidem? Néque dedi neque do ínfideli cuíquam quamquam ab impio rege dicitur,...","Poetry"
"Cicero","De Officiis, Book 3","Republic","","...periculorumque plenissima?  Múlti iniqui atque ínfideles régno, pauci bénivoli, inquit Accius. At cui regno? Quod a Tantalo et Pelope proditum iure optinebatur. Nam quanto pluris...","Poetry"
"Cicero","De Officiis","Republic","","...periculorumque plenissima?  Múlti iniqui atque ínfideles régno, pauci bénivoli, inquit Accius. At cui regno? Quod a Tantalo et Pelope proditum iure optinebatur. Nam quanto pluris...","Poetry"
"Cicero","De Optimo Genere Oratorum","Republic","","...est autem genus perfecti, a quo qui absunt, non genere differunt, ut Terentius ab Accio, sed in eodem genere non sunt pares. Optimus est enim orator, qui dicendo animos...","Poetry"
"Cicero","De Optimo Genere Oratorum","Republic","","...Andromacham aut Antiopam aut Epigonos Latinos recipiunt; sed tamen Ennium et Pacuvium et Accium potius quam Euripidem et Sophoclem legunt. Quod igitur est eorum in orationibus...","Poetry"
"Cicero","De Oratore","Republic","","Atque id primum in poetis cerni licet, quibus est proxima cognatio cum oratoribus: quam sunt inter sese Ennius, Pacuvius Acciusque dissimiles, quam apud Graecos Aeschylus, Sophocles, Euripides, quamquam omnibus par paene laus in dissimili scribendi genere tribuitur!","Poetry"
"Cicero","De Oratore, Book 3","Republic","","Atque id primum in poetis cerni licet, quibus est proxima cognatio cum oratoribus: quam sunt inter sese Ennius, Pacuvius Acciusque dissimiles, quam apud Graecos Aeschylus, Sophocles, Euripides, quamquam omnibus par paene laus in dissimili scribendi genere tribuitur!","Poetry"
"Cicero","Orator","Republic","","...virorum capitalium aut decem virorum stlitibus iudicandis dico numquam. Et quid dixit Accius? video sepulcra duo duorum corporum; idemque mulier una duum virum.  quid verum...","Poetry"
"Cicero","Orator","Republic","","...hunc ornati elaboratique sunt versus, multo apud alterum neglegentius; fac alium Accio; varia enim sunt iudicia, ut in Graecis, nec facilis explicatio quae forma maxime...","Poetry"
"Cicero","Philippicae, Book 1","Republic","","...aderant tamen et in medullis populi Romani ac visceribus haerebant! Nisi forte Accio tum plaudi et sexagesimo post anno palmam dari, non Bruto putabatis, qui ludis suis...","Poetry"
"Cicero","Philippicae","Republic","","...aderant tamen et in medullis populi Romani ac visceribus haerebant! Nisi forte Accio tum plaudi et sexagesimo post anno palmam dari, non Bruto putabatis, qui ludis suis...","Poetry"
"Cicero","Pro Sestio","Republic","","...plausu sed etiam gemitu suo comprobavit. Vtrum igitur haec Aesopum potius pro me aut Accium dicere oportuit, si populus Romanus liber esset, an principes civitatis? nominatim...","Poetry"
"Cicero","Tusculanae Disputationes","Republic","","...curru qua/driiugo rapta/rier. quem Hectorem, aut quam diu ille erit Hector? melius Accius et aliquando sapiens Achilles: Immo enimvero co/rpus Priamo re/ddidi, Hectora a/bstuli....","Poetry"
"Cicero","Tusculanae Disputationes, Book 1","Republic","","...curru qua/driiugo rapta/rier. quem Hectorem, aut quam diu ille erit Hector? melius Accius et aliquando sapiens Achilles: Immo enimvero co/rpus Priamo re/ddidi, Hectora a/bstuli....","Poetry"
"Cicero","Tusculanae Disputationes","Republic","","...Melanippo: quisnam florem liberum invidit meum? male Latine videtur, sed praeclare Accius; ut enim videre, sic invidere florem rectius quam flori. nos consuetudine prohibemur;","Poetry"
"Cicero","Tusculanae Disputationes, Book 3","Republic","","...Melanippo: quisnam florem liberum invidit meum? male Latine videtur, sed praeclare Accius; ut enim videre, sic invidere florem rectius quam flori. nos consuetudine prohibemur;","Poetry"
"Cicero","Tusculanae Disputationes","Republic","","...animadvertit? vincite!—num aut egisse umquam iratum Aesopum aut scripsisse existimas iratum Accium? aguntur ista praeclare, et ab oratore quidem melius, si modo est orator, quam ab...","Poetry"
