Author,Title,Era,Locus,Text,Poetry/Prose
"Caesar","De Bello Civili, Book 1","Republic","","Afranio legato praesidiis tenebantur.","Poetry"
"Caesar","De Bello Civili","Republic","","Afranio legato praesidiis tenebantur.","Poetry"
"Caesar","De Bello Civili, Book 1","Republic","","subsequi iubet. Fabius, ut erat imperatum, adhibita celeritate praesidium ex saltu deiecit magnisque itineribus ad exercitum Afrani contendit.","Poetry"
"Caesar","De Bello Civili","Republic","","subsequi iubet. Fabius, ut erat imperatum, adhibita celeritate praesidium ex saltu deiecit magnisque itineribus ad exercitum Afrani contendit.","Poetry"
"Caesar","De Bello Civili, Book 1","Republic","","Adventu L. Vibulli Rufi, quem a Pompeio missum in Hispaniam demonstratum est, Afranius et Petreius et Varro legati Pompei, quorum unus Hispaniam citeriorem tribus legionibus,...","Poetry"
"Caesar","De Bello Civili","Republic","","Adventu L. Vibulli Rufi, quem a Pompeio missum in Hispaniam demonstratum est, Afranius et Petreius et Varro legati Pompei, quorum unus Hispaniam citeriorem tribus legionibus,...","Poetry"
"Caesar","De Bello Civili, Book 1","Republic","","officia inter se partiuntur, uti Petreius ex Lusitania per Vettones cum omnibus copiis ad Afranium proficiscatur, Varro cum iis quas habebat legionibus omnem ulteriorem Hispaniam tueatur.","Poetry"
"Caesar","De Bello Civili","Republic","","officia inter se partiuntur, uti Petreius ex Lusitania per Vettones cum omnibus copiis ad Afranium proficiscatur, Varro cum iis quas habebat legionibus omnem ulteriorem Hispaniam tueatur.","Poetry"
"Caesar","De Bello Civili, Book 1","Republic","","his rebus constitutis equites auxiliaque toti Lusitaniae a Petreio, Celtiberiae Cantabris barbarisque omnibus qui ad Oceanum pertinent, ab Afranio imperantur.","Poetry"
"Caesar","De Bello Civili","Republic","","his rebus constitutis equites auxiliaque toti Lusitaniae a Petreio, Celtiberiae Cantabris barbarisque omnibus qui ad Oceanum pertinent, ab Afranio imperantur.","Poetry"
"Caesar","De Bello Civili, Book 1","Republic","","quibus coactis celeriter Petreius per Vettones ad Afranium pervenit, constituuntque communi consilio bellum ad Ilerdam propter ipsius loci opportunitatem gerere.","Poetry"
"Caesar","De Bello Civili","Republic","","quibus coactis celeriter Petreius per Vettones ad Afranium pervenit, constituuntque communi consilio bellum ad Ilerdam propter ipsius loci opportunitatem gerere.","Poetry"
"Caesar","De Bello Civili, Book 1","Republic","","Erant, ut supra demonstratum est, legiones Afrani iii, Petrei duae, praeterea scutatae citerioris provinciae et caetratae ulterioris Hispaniae cohortes circiter lxxx equitumque utriusque provinciae circiter v milia.","Poetry"
"Caesar","De Bello Civili","Republic","","Erant, ut supra demonstratum est, legiones Afrani iii, Petrei duae, praeterea scutatae citerioris provinciae et caetratae ulterioris Hispaniae cohortes circiter lxxx equitumque utriusque provinciae circiter v milia.","Poetry"
"Caesar","De Bello Civili, Book 1","Republic","","quo cognito a Petreio et Afranio ex aggere atque cratibus, quae flumine ferebantur, celeriter suo ponte Afranius, quem oppido castrisque coniunctum habebat, legiones iiii equitatumque omnem traiecit duabusque Fabianis occurrit legionibus.","Poetry"
