Author,Title,Era,Locus,Text,Poetry/Prose
"Cicero","Letters To Atticus","Republic","","...tribunus pl. equidem puto proximis, Caepione et Pompeio; praetor enim L. Furio Sex. Atilio. dabis igitur tribunatum et, si poteris, Tubulus quo crimine. et vide, quaeso, L....","Poetry"
"Cicero","Letters To Atticus, Book 12","Republic","","...tribunus pl. equidem puto proximis, Caepione et Pompeio; praetor enim L. Furio Sex. Atilio. dabis igitur tribunatum et, si poteris, Tubulus quo crimine. et vide, quaeso, L....","Poetry"
"Cicero","Letters To Atticus","Republic","","...quoíque sponsam, míhi meam; suum quoíque  amorem, míhi meum.  non scite. hoc enim Atilius, poeta durissimus. atque utinam liceat isti contionari! cui si esse in urbe tuto...","Poetry"
"Cicero","Letters To Atticus, Book 14","Republic","","...quoíque sponsam, míhi meam; suum quoíque  amorem, míhi meum.  non scite. hoc enim Atilius, poeta durissimus. atque utinam liceat isti contionari! cui si esse in urbe tuto...","Poetry"
"Cicero","Letters To Atticus","Republic","","...sunt aliquot satisdationes secundum mancipium veluti Mennianorum praediorum vel Atilianorum. de Oppio factum est ut volui, et maxime quod DCCC aperuisti. quae quidem ego utique...","Poetry"
"Cicero","Letters To Atticus, Book 5","Republic","","...sunt aliquot satisdationes secundum mancipium veluti Mennianorum praediorum vel Atilianorum. de Oppio factum est ut volui, et maxime quod DCCC aperuisti. quae quidem ego utique...","Poetry"
"Cicero","Letters To Atticus","Republic","","...vereor, ut scribis, ne in Epiro sollicitus sis non minus quam nos hic sumus. de Atiliano nomine scripsi ad Philotimum ne appellaret  Messallam.","Poetry"
"Cicero","Letters To Atticus, Book 5","Republic","","...vereor, ut scribis, ne in Epiro sollicitus sis non minus quam nos hic sumus. de Atiliano nomine scripsi ad Philotimum ne appellaret  Messallam.","Poetry"
"Cicero","Pro A Caecina","Republic","","A. Atilius et eius filius L. Atilius et armatos ibi fuisse et se suos servos adduxisse dixerunt;...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...dissentio, ut, cum Sophocles vel optime scripserit Electram, tamen male conversam Atilii mihi legendam putem, de quo Lucilius:","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 1","Republic","","...dissentio, ut, cum Sophocles vel optime scripserit Electram, tamen male conversam Atilii mihi legendam putem, de quo Lucilius:","Poetry"
"Cicero","De Natura Deorum","Republic","","...quas in Capitolio dedicatas videmus proxume a M. Aemilio Scauro, ante autem ab A. Atilio Calatino erat Fides consecrata. vides Virtutis templum vides Honoris a M. Marcello...","Poetry"
"Cicero","De Natura Deorum, Book 2","Republic","","...quas in Capitolio dedicatas videmus proxume a M. Aemilio Scauro, ante autem ab A. Atilio Calatino erat Fides consecrata. vides Virtutis templum vides Honoris a M. Marcello...","Poetry"
"Cicero","De Officiis, Book 3","Republic","","...auctoritate foedus  fecerat, dederetur, rogationem suasit ear, quam L. Furius, Sex. Atilius ex senatus consulto ferebant; qua accepta est hostibus deditus. Honestius hic quam...","Poetry"
"Cicero","De Officiis","Republic","","...auctoritate foedus  fecerat, dederetur, rogationem suasit ear, quam L. Furius, Sex. Atilius ex senatus consulto ferebant; qua accepta est hostibus deditus. Honestius hic quam...","Poetry"
"Cicero","De Officiis, Book 3","Republic","","...inferendum. Sed omittamus et fabulas et externa; ad rem factam nostramque veniamus. M. Atilius Regulus cum consul iterum in Africa ex insidiis captus esset duce Xanthippo Lacedaemonio,...","Poetry"
"Cicero","De Officiis","Republic","","...inferendum. Sed omittamus et fabulas et externa; ad rem factam nostramque veniamus. M. Atilius Regulus cum consul iterum in Africa ex insidiis captus esset duce Xanthippo Lacedaemonio,...","Poetry"
"Cicero","Pro Plancio","Republic","","...quis nostrum se dicit M'. Curio, quis C. Fabricio, quis C. Duellio parem, quis A. Atilio Calatino, quis Cn. et P. Scipionibus, quis Africano, Marcello, maximo? tamen eosdem...","Poetry"
"Cicero","Pro Sestio","Republic","","...contionibus non liceat, eos omni populi Romani significatione decorari?  tu mihi etiam M. Atilium Regulum commemoras, qui redire ipse Carthaginem sua voluntate ad supplicium quam...","Poetry"
"Cicero","Pro Sestio","Republic","","...Serranus ab aratro, sed ex deserta Gavi Oleli area calatis Gaviis in Calatinos Atilios insitus, subito, nominibus in tabulas relatis, nomen suum de tabula sustulit. veniunt...","Poetry"
"Cicero","Pro Sestio","Republic","","...mea salute dixisset fieretque sine ulla varietate discessio, surrexit, ut scitis, Atilius hic Gavianus; nec ausus est, cum esset emptus, intercedere; noctem sibi ad deliberandum...","Poetry"
"Cicero","De Republica","Republic","","impetu liberavissent, nec C. Duelius, A. Atilius, L. Metellus terrore Karthaginis, non duo Scipiones oriens incendium belli Punici...","Poetry"
"Cicero","Pro S Roscio","Republic","","...consules fierent. etenim qui praeesse agro colendo flagitium putes, profecto illum Atilium quem sua manu spargentem semen qui missi erant convenerunt hominem turpissimum atque...","Poetry"
"Cicero","De Senectute","Republic","","...est autem senectutis auctoritas. quanta fuit in L. Caecilio Metello, quanta in A. Atilio Calatino! in quem illud elogium:  hunc unum plurimae consentiunt gentes populi primarium...","Poetry"
"Cicero","De Senectute","Republic","","...non duos Decios, qui ad voluntariam mortem cursum equorum incitaverunt, non M. Atilium, qui ad supplicium est profectus ut fidem hosti datam conservaret, non duos Scipiones,...","Poetry"
"Cicero","Tusculanae Disputationes, Book 4","Republic","","...his contraria, ea nasci putantur a metu, ut odium mulierum, quale in μισογύνῳ Atili est, ut in hominum universum genus, quod accepimus de Timone qui μισάνθρωπος appellatur,...","Poetry"
