Author,Title,Era,Locus,Text,Poetry/Prose
"Terence","Hecyra","Republic","","In his quas primum Caecili didici novas","Poetry"
"Catullus","Carmina","Republic","","Magno Caecilio incohata Mater.","Poetry"
"Catullus","Carmina","Republic","","Velim Caecilio, papyre, dicas","Poetry"
"Catullus","Carmina","Republic","","Non (ita Caecilio placeam, cui tradita nunc sum)","Poetry"
"Caesar","De Bello Civili, Book 1","Republic","","Caecilius Rufus, Sex.","Poetry"
"Caesar","De Bello Civili","Republic","","Caecilius Rufus, Sex.","Poetry"
"Caesar","De Bello Civili, Book 1","Republic","","amplius dc. ex Afranianis interficiuntur T. Caecilius, primi pili centurio, et praeter eum centuriones iiii, milites amplius cc.","Poetry"
"Caesar","De Bello Civili","Republic","","amplius dc. ex Afranianis interficiuntur T. Caecilius, primi pili centurio, et praeter eum centuriones iiii, milites amplius cc.","Poetry"
"Cicero","Letters To Atticus, Book 1","Republic","","sed est quod abs te mihi ignosci pervelim. Caecilius, avunculus tuus, a P. Vario cum magna pecunia fraudaretur, agere coepit cum eius... ...L. Pontius. verum hoc ridiculum est de magistro. nunc cognosce rem. rogavit me Caecilius ut adessem contra Satyrum. dies fere nullus est quin hic Satyrus domum meam ventitet;...","Poetry"
"Cicero","Letters To Atticus","Republic","","sed est quod abs te mihi ignosci pervelim. Caecilius, avunculus tuus, a P. Vario cum magna pecunia fraudaretur, agere coepit cum eius... ...L. Pontius. verum hoc ridiculum est de magistro. nunc cognosce rem. rogavit me Caecilius ut adessem contra Satyrum. dies fere nullus est quin hic Satyrus domum meam ventitet;...","Poetry"
"Cicero","Letters To Atticus, Book 1","Republic","","...familiaritate tum Domiti, in quo uno maxime ambitio nostra nititur. demonstravi haec Caecilio simul et illud ostendi, si ipse unus cum illo uno contenderet, me ei satis facturum fuisse; nunc in causa universorum creditorum, hominum praesertim amplissimorum, qui sine eo quem Caecilius suo nomine perhiberet facile causam communem sustinerent, aequum esse eum et officio...","Poetry"
"Cicero","Letters To Atticus","Republic","","...familiaritate tum Domiti, in quo uno maxime ambitio nostra nititur. demonstravi haec Caecilio simul et illud ostendi, si ipse unus cum illo uno contenderet, me ei satis facturum fuisse; nunc in causa universorum creditorum, hominum praesertim amplissimorum, qui sine eo quem Caecilius suo nomine perhiberet facile causam communem sustinerent, aequum esse eum et officio...","Poetry"
"Cicero","Letters To Atticus, Book 1","Republic","","...Terentiam postea rediit. opinor ad Considium, Axium, Selicium confugiendum est; nam a Caecilio propinqui minore centesimis nummum movere non possunt. sed ut ad prima illa redeam,...","Poetry"
"Cicero","Letters To Atticus","Republic","","...Terentiam postea rediit. opinor ad Considium, Axium, Selicium confugiendum est; nam a Caecilio propinqui minore centesimis nummum movere non possunt. sed ut ad prima illa redeam,...","Poetry"
"Cicero","Letters To Atticus, Book 1","Republic","","ac vereor ne, Lucullis quoniam Graecum poema condidit, nunc ad Caecilianam fabulam spectet.","Poetry"
"Cicero","Letters To Atticus","Republic","","ac vereor ne, Lucullis quoniam Graecum poema condidit, nunc ad Caecilianam fabulam spectet.","Poetry"
"Cicero","Letters To Atticus","Republic","","...est multumque mecum. ad quem a Vetere litterae datae pridie Kal. Ianuar. cum a se Caecilius circumsederetur et iam teneretur, venisse cum maximis copiis Pacorum Parthum; ita...","Poetry"
"Cicero","Letters To Atticus, Book 14","Republic","","...est multumque mecum. ad quem a Vetere litterae datae pridie Kal. Ianuar. cum a se Caecilius circumsederetur et iam teneretur, venisse cum maximis copiis Pacorum Parthum; ita...","Poetry"
"Cicero","Letters To Atticus, Book 2","Republic","","...in iis epistulis me Laelium, te Furium faciam; cetera erunt ἐν αἰνιγμοῖς. hic Caecilium colimus et observamus diligenter.  edicta Bibuli audio ad te missa. iis ardet dolore...","Poetry"
"Cicero","Letters To Atticus","Republic","","...in iis epistulis me Laelium, te Furium faciam; cetera erunt ἐν αἰνιγμοῖς. hic Caecilium colimus et observamus diligenter.  edicta Bibuli audio ad te missa. iis ardet dolore...","Poetry"
"Cicero","Letters To Atticus, Book 2","Republic","","...defui. Numestium ex litteris tuis studiose scriptis libenter in amicitiam recepi. Caecilium quibus rebus possum tueor diligenter. Varro satis facit nobis. Pompeius amat nos...","Poetry"
"Cicero","Letters To Atticus","Republic","","...defui. Numestium ex litteris tuis studiose scriptis libenter in amicitiam recepi. Caecilium quibus rebus possum tueor diligenter. Varro satis facit nobis. Pompeius amat nos...","Poetry"
"Cicero","Letters To Atticus, Book 2","Republic","","subito cum mihi dixisset Caecilius quaestor puerum se Romam mittere, haec scripsi raptim, ut tuos elicerem mirificos... ...improbitate istorum qui auspicia, qui Aeliam legem, qui Iuniam et Liciniam, qui Caeciliam et Didiam neglexerunt, qui omnia remedia rei publicae effuderunt, qui regna qui...","Poetry"
"Cicero","Letters To Atticus","Republic","","subito cum mihi dixisset Caecilius quaestor puerum se Romam mittere, haec scripsi raptim, ut tuos elicerem mirificos... ...improbitate istorum qui auspicia, qui Aeliam legem, qui Iuniam et Liciniam, qui Caeciliam et Didiam neglexerunt, qui omnia remedia rei publicae effuderunt, qui regna qui...","Poetry"
"Cicero","Letters To Atticus","Republic","","nunc ad ea quae scripsisti. Tryphonem Caecilium non vidi. sermonem tuum et Pompei cognovi ex tuis litteris. motum in re publica...","Poetry"
"Cicero","Letters To Atticus, Book 3","Republic","","nunc ad ea quae scripsisti. Tryphonem Caecilium non vidi. sermonem tuum et Pompei cognovi ex tuis litteris. motum in re publica...","Poetry"
"Cicero","Letters To Atticus","Republic","","erit Caecilius, ut est ex me et ex te iunctus  Dionysius M.","Poetry"
"Cicero","Letters To Atticus, Book 4","Republic","","erit Caecilius, ut est ex me et ex te iunctus  Dionysius M.","Poetry"
"Cicero","Letters To Atticus, Book 6","Republic","","...sed lucet; urget turba, festinat Philogenes. valebis igitur et valere Piliam et Caeciliam nostram iubebis litteris et salvebis a meo Cicerone.","Poetry"
"Cicero","Letters To Atticus","Republic","","...sed lucet; urget turba, festinat Philogenes. valebis igitur et valere Piliam et Caeciliam nostram iubebis litteris et salvebis a meo Cicerone.","Poetry"
"Cicero","Letters To Atticus, Book 6","Republic","","...volent obviae. haec festinans scripsi in itinere atque agmine. Piliae et puellae Caeciliae bellissimae salutem dices.","Poetry"
"Cicero","Letters To Atticus","Republic","","...volent obviae. haec festinans scripsi in itinere atque agmine. Piliae et puellae Caeciliae bellissimae salutem dices.","Poetry"
"Cicero","Letters To Atticus, Book 7","Republic","","...eo est quod non ut de oppido locutus sum sed ut de loco secutusque sum non dico Caecilium, máne ut ex portu ín Piraeum (malus enim auctor Latinitatis est), sed Terentium...","Poetry"
"Cicero","Letters To Atticus","Republic","","...eo est quod non ut de oppido locutus sum sed ut de loco secutusque sum non dico Caecilium, máne ut ex portu ín Piraeum (malus enim auctor Latinitatis est), sed Terentium...","Poetry"
"Cicero","Brutus","Republic","","...tamquam innocentiae sic Latine loquendi—nec omnium tamen, nam illorum aequalis Caecilium et Pacuvium male locutos videmus—sed omnes tum fere, qui nec extra urbem hanc vixerant...","Poetry"
"Cicero","Pro M Caelio","Republic","","...auctoritatem patriam severitatemque suscipio. sed dubito quem patrem potissimum sumam, Caecilianumne aliquem vehementem atque durum:  nunc enim demum mi animus ardet, nunc meum cor...","Poetry"
"Cicero","Pro Rege Deiotaro","Republic","","at misit ad nescio quem Caecilium: sed eos quos misit, quod ire noluerunt, in vincla coniecit. non quaero quam veri... ...audientes in tanta re non fuissent, eos vinctos potius quam necatos. sed tamen cum ad Caecilium mittebat, utrum causam illam victam esse nesciebat an Caecilium istum magnum hominem...","Poetry"
"Cicero","Pro Rege Deiotaro","Republic","","secutum bellum est Africanum. graves de te rumores, qui etiam furiosum illum Caecilium excitaverunt. quo tum rex animo, qui auctionatus sit seseque spoliare maluerit quam...","Poetry"
"Cicero","De Divinatione","Republic","","L. Flaccum, flaminem Martialem, ego audivi, cum diceret Caeciliam Metelli, cum vellet sororis suae filiam in matrimonium conlocare, exisse in quoddam sacellum ominis capiendi causa, quod fieri more veterum solebat. Cum virgo staret et Caecilia in sella sederet neque diu ulla vox exstitisset, puellam defatigatam petisse a matertera,... ...Quod omen res consecuta est; ipsa enim brevi mortua est, virgo autem nupsit, cui Caecilia nupta fuerat. Haec posse contemni vel etiam rideri praeclare intellego, sed id ipsum...","Poetry"
"Cicero","De Divinatione","Republic","","...Sospitae L. Iulius, qui cum P. Rutilio consul fuit, de senatus sententia refecit ex Caeciliae, Baliarici filiae, somnio.","Poetry"
"Cicero","De Divinatione","Republic","","Caeciliae Q. filiae somnio modo Marsico bello templum est a senatu Iunoni Sospitae restitutum....","Poetry"
