Author,Title,Era,Locus,Text,Poetry/Prose
"Cicero","Academica","Republic","","...dicitur—sed tamen illa quam exposuisti vetus, haec nova nominetur. quae usque ad Carneadem perducta, qui quartus ab Arcesila fuit, in eadem Arcesilae ratione permansit. Carneades... ...facultate et to * * * quid autem stomachatur Mnesarchus, quid Antipater digladiatur cum Carneade tot voluminibus? *","Poetry"
"Cicero","Letters To Atticus","Republic","","...accessione non maxima libera. et ut scias me ita dolere ut non iaceam, quibus consulibus Carneades et ea legatio Romam venerit scriptum est in tuo annali. haec nunc quaero quae causa...","Poetry"
"Cicero","Letters To Atticus, Book 12","Republic","","...accessione non maxima libera. et ut scias me ita dolere ut non iaceam, quibus consulibus Carneades et ea legatio Romam venerit scriptum est in tuo annali. haec nunc quaero quae causa...","Poetry"
"Cicero","Letters To Atticus, Book 13","Republic","","...quam ut Lucilius, sustineas currum ut bonus saepe agitator equosque. semperque Carneades προβολὴν pugilis et retentionem aurigae similem facit ἐποχῇ. inhibitio autem...","Poetry"
"Cicero","Letters To Atticus","Republic","","...quam ut Lucilius, sustineas currum ut bonus saepe agitator equosque. semperque Carneades προβολὴν pugilis et retentionem aurigae similem facit ἐποχῇ. inhibitio autem...","Poetry"
"Cicero","Letters To Atticus","Republic","","...hominem naturae adiunctio; qua sublata vitae societas tollitur. bene eveniat! inquit Carneades spurce sed tamen prudentius quam Lucius noster et Patron qui, cum omnia ad se referant,...","Poetry"
"Cicero","Letters To Atticus, Book 7","Republic","","...hominem naturae adiunctio; qua sublata vitae societas tollitur. bene eveniat! inquit Carneades spurce sed tamen prudentius quam Lucius noster et Patron qui, cum omnia ad se referant,...","Poetry"
"Cicero","De Divinatione","Republic","","...quidque fiat, et tantum modo fieri ea, quae commemoravi, doceam, parumne Epicuro Carneadive respondeam? Quid, si etiam ratio exstat artificiosae praesensionis facilis,  divinae...","Poetry"
"Cicero","De Divinatione","Republic","","...tum aliquo instinctu inflatuque divino futura praenuntiat. Quare omittat urguere Carneades, quod faciebat etiam Panaetius requirens, Iuppiterne cornicem a laeva, corvum ab...","Poetry"
"Cicero","De Divinatione","Republic","","Quid? quaeris, Carneades, cur haec ita fiant aut qua arte perspici possint? Nescire me fateor, evenire autem... ...num propterea suspicari poteris Andromacham Ennii ab ea posse describi? Fingebat Carneades in Chiorum lapicidinis saxo diffisso caput extitisse Panisci; credo, aliquam non...","Poetry"
