Author,Title,Era,Locus,Text,Poetry/Prose
"Lucretius","De Rerum Natura, Book 1","Republic","","Ennius ut noster cecinit, qui primus amoeno","Poetry"
"Lucretius","De Rerum Natura, Book 1","Republic","","Ennius aeternis exponit versibus edens,","Poetry"
"Lucretius","De Rerum Natura","Republic","","Ennius ut noster cecinit qui primus amoeno","Poetry"
"Lucretius","De Rerum Natura","Republic","","Ennius aeternis exponit uersibus edens,","Poetry"
"Cicero","Academica","Republic","","...Latinos Graecis litteris eruditi legant, philosophos non legant? an quia delectat Ennius Pacuvius Accius multi alii, qui non verba sed vim Graecorum expresserunt poetarum—quanto...","Poetry"
"Cicero","De Amicitia","Republic","","...habet, quantas vix queo dicere. principio qui potest esse vita vitalis, ut ait Ennius, quae non in amici mutua benevolentia conquiescit? quid dulcius quam habere quicum...","Poetry"
"Cicero","De Amicitia","Republic","","...calamitatum societates, ad quas non est facile inventu qui descendant. quamquam Ennius recte:  amicus certus in re incerta cernitur; tamen haec duo levitatis et infirmitatis...","Poetry"
"Cicero","Pro Archia","Republic","","...viribus excitari et quasi divino quodam spiritu inflari. qua re suo iure noster ille Ennius 'sanctos' appellat poetas, quod quasi deorum aliquo dono atque munere commendati...","Poetry"
"Cicero","Pro Archia","Republic","","carus fuit Africano superiori noster Ennius, itaque etiam in sepulcro Scipionum putatur is esse constitutus ex marmore. at eis...","Poetry"
"Cicero","Letters To Atticus, Book 6","Republic","","...laudator integritatis et elegantiae nostrae,  ausus es hoc ex ore tuo— —  inquit Ennius, ut equites Scaptio ad pecuniam cogendam darem me rogare? an tu si mecum esses qui...","Poetry"
"Cicero","Letters To Atticus","Republic","","...laudator integritatis et elegantiae nostrae,  ausus es hoc ex ore tuo— —  inquit Ennius, ut equites Scaptio ad pecuniam cogendam darem me rogare? an tu si mecum esses qui...","Poetry"
"Cicero","Brutus","Republic","","...Cornelius Cethegus, cuius eloquentiae est auctor et idoneus quidem mea sententia Q. Ennius, praesertim cum et ipse eum audi- verit et scribat de mortuo: ex quo nulla suspicio... ...medulla. πειθὼ quam vocant Graeci, cuius effector est orator, hanc Suadam appellavit Ennius [eius autem Cethegum medullam fuisse vult], ut, quam deam in Pericli labris scripsit...","Poetry"
"Cicero","Brutus","Republic","","...Claudio Caeci filio et M. Tuditano consulibus docuit anno ipso ante quam natus est Ennius, post Romam conditam autem quartodecimo et quingentensimo, ut hic ait, quem nos... ...proelio voverat. In quo tantus error Acci fuit, ut his consulibus xl annos natus Ennius fuerit: quoi si aequalis fuerit Livius, minor fuit aliquanto is, qui primus fabulam...","Poetry"
"Cicero","Brutus","Republic","","...Originibus scriptum reliquit Cato! Tamen illius, quem in vatibus et Faunis adnumerat Ennius, bellum Punicum quasi Myronis opus delectat. sit Ennius sane, ut est certe, perfectior;...","Poetry"
"Cicero","Brutus","Republic","","...cum Thyesten fabulam docuisset, Q. Marcio Cn. Servilio consulibus mortem obiit Ennius. erat isdem temporibus Ti. Gracchus P. F., qui bis consul et censor fuit, cuius...","Poetry"
"Cicero","Pro A Cluentio","Republic","","Ennium esse quendam cuius bona teneat habitus. est hic Ennius egens quidam calumniator, mercennarius Oppianici, qui permultos annos quievit; deinde...","Poetry"
"Cicero","De Divinatione","Republic","","...petunt. De hís divitiis síbi deducant dráchumam, reddant cétera. Atque haec quidem Ennius, qui paucis ante versibus esse deos censet, sed eos non curare opinatur, quid agat...","Poetry"
"Cicero","De Divinatione","Republic","","...dabit? Epicurusne? qui negat quicquam deos nec alieni curare nec sui; an noster Ennius? qui magno plausu loquitur adsentiente populo: E/go deum genus ésse semper díxi...","Poetry"
"Cicero","De Divinatione","Republic","","...primi cuiusque versus litteris aliquid conectitur, ut in quibusdam Ennianis: Q. Ennius  fecit. Id certe magis est attenti animi quam furentis.","Poetry"
"Cicero","De Divinatione","Republic","","...veraciorem ducam Ennio? Num minus ille potuit de Croeso quam de Pyrrho fingere Ennius? Quis enim est, qui credat Apollinis ex oraculo Pyrrho esse responsum: Aio te, Aeacida,...","Poetry"
"Cicero","De Divinatione","Republic","","...Iam vero quis dicere audeat vera omnia esse somnia? Aliquot somnia vera, inquit Ennius, sed omnia noenum necesse est. Quae est tandem ista distinctio? quae vera, quae...","Poetry"
"Cicero","De Divinatione","Republic","","...mitificato cibo cantus edere quiete satiatos; qui quidem silentio noctis, ut ait Ennius,  favent faucíbus russis Cantú plausuque premúnt alas.  Cum igitur hoc animal tam...","Poetry"
"Cicero","De Divinatione","Republic","","...augures conveniens et coniuncta constantia? Ad nostri augurii consuetudinem dixit Ennius: Tum tonuit laevum bene tempestate serena. At Homericus Aiax apud Achillem querens...","Poetry"
