Author,Title,Era,Locus,Text,Poetry/Prose
"Lucretius","De Rerum Natura, Book 3","Republic","","ipse Epicurus obit decurso lumine vitae,","Poetry"
"Lucretius","De Rerum Natura","Republic","","Ipse Epicurus obit decurso lumine uitae,","Poetry"
"Cicero","Academica","Republic","","...philosophiae partis ignarus et, ut cognovi ex is qui illum audierant maximeque ex Epicureo Zenone, qui cum ab eo plurimum dissentiret unum tamen praeter ceteros mirabatur,...","Poetry"
"Cicero","Academica","Republic","","Iam vero physica, si Epicurum id est si Democritum probarem, possem scribere ita plane ut Amafinius. quid est...","Poetry"
"Cicero","Academica","Republic","","...simplex bonum quod non possit ab honestate seiungi (quod bonum quale sit negat omnino Epicurus se sine voluptatibus sensum moventibus ne suspicari quidem); si vero Academiam veterem...","Poetry"
"Cicero","Academica","Republic","","...interrogetur qui sit sapiens, respondebit eum esse quem ipse descripserit; contra Epicurus vel quis alius adversariorum negabit suumque potius peritissimum voluptatum aucupem... ...prorsus commodo extrinsecus posito et quasi lenocinante mercede, voluptatemque illam Epicuri solis inter se pecoribus esse commune, in quorum societatem et hominem et sapientem... ...interrogatus quid ei videatur dubitare se dicet. roga nunc Stoicum qui sit melior. Epicurusne qui delirare illum clamat, an Academicus qui sibi adhuc de re tanta deliberandum... ...porticum insanam, Academicos autem prae illis modestos cautosque homines videri Epicuro? （Academicis) morem fuisse occultandisententiam suam, nec eam cuiquam nisi qui secum...","Poetry"
"Cicero","Letters To Atticus, Book 12","Republic","","de Epicuro, ut voles; etsi μεθαρμόσομαι. in posterum genus hoc personarum. incredibile est...","Poetry"
"Cicero","Letters To Atticus","Republic","","de Epicuro, ut voles; etsi μεθαρμόσομαι. in posterum genus hoc personarum. incredibile est...","Poetry"
"Cicero","Letters To Atticus, Book 12","Republic","","...certum nescio) et, si ita est, quae controversiae. praeterea, qui eo tempore nobilis Epicureus fuerit Athenisque praefuerit hortis, qui etiam Athenis πολιτικοὶ fuerint inlustres....","Poetry"
"Cicero","Letters To Atticus","Republic","","...certum nescio) et, si ita est, quae controversiae. praeterea, qui eo tempore nobilis Epicureus fuerit Athenisque praefuerit hortis, qui etiam Athenis πολιτικοὶ fuerint inlustres....","Poetry"
"Cicero","Letters To Atticus, Book 13","Republic","","...ceterorum ut penes ipsum sit principatus. ita confeci quinque libros περὶ Τελῶν ut Epicurea L. Torquato, Stoica M. Catoni, Περιπατητικὰ M. Pisoni darem. ἀζηλοτύπητον id...","Poetry"
"Cicero","Letters To Atticus","Republic","","...ceterorum ut penes ipsum sit principatus. ita confeci quinque libros περὶ Τελῶν ut Epicurea L. Torquato, Stoica M. Catoni, Περιπατητικὰ M. Pisoni darem. ἀζηλοτύπητον id...","Poetry"
"Cicero","Letters To Atticus, Book 13","Republic","","ante lucem cum scriberem contra Epicureos, de eodem oleo et opera exaravi nescio quid ad te et ante lucem dedi. deinde cum...","Poetry"
"Cicero","Letters To Atticus","Republic","","ante lucem cum scriberem contra Epicureos, de eodem oleo et opera exaravi nescio quid ad te et ante lucem dedi. deinde cum...","Poetry"
"Cicero","Letters To Atticus, Book 14","Republic","","Epicuri mentionem facis et audes dicere μὴ πολιτεύεσθαι. non te Bruti nostri vulticulus...","Poetry"
"Cicero","Letters To Atticus","Republic","","Epicuri mentionem facis et audes dicere μὴ πολιτεύεσθαι. non te Bruti nostri vulticulus...","Poetry"
"Cicero","Brutus","Republic","","...opinor; sed licet ex orationibus iudicare. Fuit autem Athenis adulescens, perfectus Epicurius evaserat, minime aptum ad dicendum genus. iam Q. Catulus non antiquo illo more,...","Poetry"
"Cicero","Brutus","Republic","","...autem omnium rerum inscium fingit et rudem. Decet hoc nescio quo modo ilium, nec  Epicuro, qui id reprehendit, assentior. Sed in historia, qua tu es usus in omni sermone,...","Poetry"
"Cicero","De Divinatione","Republic","","...ob rem quidque fiat, et tantum modo fieri ea, quae commemoravi, doceam, parumne Epicuro Carneadive respondeam? Quid, si etiam ratio exstat artificiosae praesensionis facilis,...","Poetry"
"Cicero","De Divinatione","Republic","","...qui deos esse diceret, divinationem funditus sustulit; reliqui vero omnes praeter Epicurum balbutientem de natura deorum divinationem probaverunt, sed non uno modo. Nam cum...","Poetry"
"Cicero","De Divinatione","Republic","","Epicurum igitur audiemus potius? Namque Carneades concertationis studio modo hoc, modo illud...","Poetry"
"Cicero","De Divinatione","Republic","","...Xenophanem neminem, adiunxi veterem Academiam, Peripateticos, Stoicos; unus dissentit Epicurus. Quid vero hoc turpius, quam quod idem nullam censet gratuitam esse virtutem?  Quis...","Poetry"
"Cicero","De Divinatione","Republic","","...cum disputavisset mirifice ad verbum cum re convenisse, tum insolenter, credo ab Epicureo aliquo inductus, disputat somniis credi non oportere. Idem contra ostenta nihil...","Poetry"
"Cicero","De Divinatione","Republic","","...probanda est, in qua ex rebus non dubiis id, quod dubitatur, efficitur.  Videsne Epicurum, quem hebetem et rudem dicere solent Stoici, quem ad modum, quod in natura rerum...","Poetry"
"Cicero","De Divinatione","Republic","","...Primum enim hoc sumitis: Si sunt di, benefici in homines sunt. Quis hoc vobis dabit? Epicurusne? qui negat quicquam deos nec alieni curare nec sui; an noster Ennius? qui magno...","Poetry"
"Cicero","De Divinatione","Republic","","...amphibolia, quae Croesum  decepit, vel Chrysippum potuisset fallere, haec vero ne Epicurum quidem.","Poetry"
"Cicero","De Divinatione","Republic","","...quasi sortem quandam cum deorum voluntate coniunctam, doleo tantam Stoicos nostros Epicureis inridendi sui facultatem dedisse; non enim ignoras, quam ista derideant.","Poetry"
"Cicero","De Divinatione","Republic","","Et quidem illi facilius facere possunt; deos enim ipsos iocandi causa induxit Epicurus perlucidos et perflabilis et habitantis tamquam inter duos lucos sic inter duos...","Poetry"
"Cicero","De Divinatione","Republic","","Num ergo opus est ad haec refellenda Carneade? num Epicuro? estne quisquam ita desipiens, qui credat exaratum esse, deum dicam an hominem?...","Poetry"
"Cicero","De Divinatione","Republic","","...Politian nuper apud me mures corroserunt, de re publica debui pertimescere, aut, si Epicuri de voluptate liber rosus esset, putarem annonam in macello cariorem fore.","Poetry"
"Cicero","Epistulae Ad Familiares","Republic","","...interesse, ita mihi des, si tibi ut id libenter facias ante persuaseris. Cum zzzPatrone Epicurio mihi omnia sunt, nisi quod in philosophia vehementer ab eo dissentio. sed et initio...","Poetry"
"Cicero","Epistulae Ad Familiares, Book 13","Republic","","...interesse, ita mihi des, si tibi ut id libenter facias ante persuaseris. Cum zzzPatrone Epicurio mihi omnia sunt, nisi quod in philosophia vehementer ab eo dissentio. sed et initio...","Poetry"
"Cicero","Epistulae Ad Familiares","Republic","","...me Romam litteras misisset, uti te sibi placarem peteremque ut nescio quid illud Epicuri parietinarum sibi concederes, nihil scripsi ad te ob eam rem, quod aedificationis...","Poetry"
"Cicero","Epistulae Ad Familiares, Book 13","Republic","","...me Romam litteras misisset, uti te sibi placarem peteremque ut nescio quid illud Epicuri parietinarum sibi concederes, nihil scripsi ad te ob eam rem, quod aedificationis...","Poetry"
