Author,Title,Era,Locus,Text,Poetry/Prose
"Cicero","Epistulae Ad Familiares","Republic","","...facile abesse ab iniuria temporis. ψῦχος δὲ λεπτῷ χρωτὶ πολεμιώτατον, inquit Euripides ; cui tu quantum credas nescio ; ego certe singulos eius versus singula eius testimonia...","Poetry"
"Cicero","Epistulae Ad Familiares, Book 16","Republic","","...facile abesse ab iniuria temporis. ψῦχος δὲ λεπτῷ χρωτὶ πολεμιώτατον, inquit Euripides ; cui tu quantum credas nescio ; ego certe singulos eius versus singula eius testimonia...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...sint quam vestra dogmata. vulgo enim dicitur: 'Iucundi acti labores', nec male Euripides— concludam, si potero, Latine; Graecum enim hunc versum nostis omnes—: Suavi/s laborum...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 2","Republic","","...sint quam vestra dogmata. vulgo enim dicitur: 'Iucundi acti labores', nec male Euripides— concludam, si potero, Latine; Graecum enim hunc versum nostis omnes—: Suavi/s laborum...","Poetry"
"Cicero","De Natura Deorum, Book 2","Republic","","...nostri cum dicunt ""Iove fulgente tonante"": dicunt enim ""caelo fulgente et tonante"". Euripides autem ut multa praeclare sic hoc breviter: vides sublime fusum immoderatum aethera,...","Poetry"
"Cicero","De Natura Deorum","Republic","","...nostri cum dicunt ""Iove fulgente tonante"": dicunt enim ""caelo fulgente et tonante"". Euripides autem ut multa praeclare sic hoc breviter: vides sublime fusum immoderatum aethera,...","Poetry"
"Cicero","De Officiis, Book 3","Republic","","...iuraris, sicut verbis concipitur more nostro, id non facere periurium est. Scite enim Euripides:  Iurávi lingua, méntem iniuratám gero. Regulus vero non debuit condiciones pactionesque...","Poetry"
"Cicero","De Officiis","Republic","","...iuraris, sicut verbis concipitur more nostro, id non facere periurium est. Scite enim Euripides:  Iurávi lingua, méntem iniuratám gero. Regulus vero non debuit condiciones pactionesque...","Poetry"
"Cicero","De Officiis, Book 3","Republic","","...grátia Violándum est; aliis rébus pietatém colas. Capitalis Eteocles vel potius Euripides, qui id unum, quod omnum sceleratissimum fuerit, exceperit!","Poetry"
"Cicero","De Officiis","Republic","","...grátia Violándum est; aliis rébus pietatém colas. Capitalis Eteocles vel potius Euripides, qui id unum, quod omnum sceleratissimum fuerit, exceperit!","Poetry"
"Cicero","De Oratore, Book 3","Republic","","Atque id primum in poetis cerni licet, quibus est proxima cognatio cum oratoribus: quam sunt inter sese Ennius, Pacuvius Acciusque dissimiles, quam apud Graecos Aeschylus, Sophocles, Euripides, quamquam omnibus par paene laus in dissimili scribendi genere tribuitur!","Poetry"
"Cicero","De Oratore","Republic","","Atque id primum in poetis cerni licet, quibus est proxima cognatio cum oratoribus: quam sunt inter sese Ennius, Pacuvius Acciusque dissimiles, quam apud Graecos Aeschylus, Sophocles, Euripides, quamquam omnibus par paene laus in dissimili scribendi genere tribuitur!","Poetry"
"Cicero","Tusculanae Disputationes","Republic","","qua est sententia in Cresphonte usus Euripides: Nam no/s decebat coe/tus celebranti/s domum Luge/re, ubi esset a/liquis in lucem...","Poetry"
"Cicero","Tusculanae Disputationes, Book 1","Republic","","qua est sententia in Cresphonte usus Euripides: Nam no/s decebat coe/tus celebranti/s domum Luge/re, ubi esset a/liquis in lucem...","Poetry"
"Cicero","Tusculanae Disputationes","Republic","","...sapere, invenire, meminisse. ergo animus qui ..., ut ego dico, divinus est, ut Euripides dicere audet, deus. Et quidem, si deus aut anima aut ignis est, idem est animus...","Poetry"
"Cicero","Tusculanae Disputationes, Book 1","Republic","","...sapere, invenire, meminisse. ergo animus qui ..., ut ego dico, divinus est, ut Euripides dicere audet, deus. Et quidem, si deus aut anima aut ignis est, idem est animus...","Poetry"
"Cicero","Tusculanae Disputationes","Republic","","quod autem Theseus a docto se audisse dicit, id de se ipso loquitur Euripides. fuerat enim auditor Anaxagorae, quem ferunt nuntiata morte filii dixisse: sciebam...","Poetry"
"Cicero","Tusculanae Disputationes, Book 3","Republic","","quod autem Theseus a docto se audisse dicit, id de se ipso loquitur Euripides. fuerat enim auditor Anaxagorae, quem ferunt nuntiata morte filii dixisse: sciebam...","Poetry"
"Cicero","Tusculanae Disputationes","Republic","","itaque non sine causa, cum Orestem fabulam doceret Euripides, primos tris versus revocasse dicitur Socrates: Neque ta/m terribilis u/lla fando...","Poetry"
"Cicero","Tusculanae Disputationes, Book 4","Republic","","itaque non sine causa, cum Orestem fabulam doceret Euripides, primos tris versus revocasse dicitur Socrates: Neque ta/m terribilis u/lla fando...","Poetry"
"Vitruvius","De Architectura","Augustan","","Non minus in Macedonia quo loci sepultus est Euripides, dextra ac sinistra monumenti advenientes duo rivi concurrunt in unum, e quibus...","Poetry"
"Vitruvius","De Architectura","Augustan","","...principium aquam est professus, Heraclitus ignem, Magorum sacerdotes aquam et ignem, Euripides, auditor Anaxagorae, quem philosophum Athenienses scaenicum appellaverunt, aera...","Poetry"
"Vitruvius","De Architectura","Augustan","","...extentionibus porrecti ad trigoni formam linearentur, propiora flagrarent. id autem etiam Euripides, Graecorum poeta, animadvertisse videtur. ait enim, quae longius a sole essent,...","Poetry"
"Valerius Maximus","Facta Et Dicta Memorabilia","Early Imperial","","Quem patrem Euripides aut quam matrem Demosthenes habuerit ipsorum quoque saeculo ignotum fuit.","Poetry"
"Valerius Maximus","Facta Et Dicta Memorabilia","Early Imperial","","Ne Euripides quidem Athenis arrogans uisus est, cum postulante ui populo ut ex tragoedia quandam...","Poetry"
"Valerius Maximus","Facta Et Dicta Memorabilia","Early Imperial","","Sed atrocius aliquanto Euripides finitus est: ab Archelai enim regis cena in Macedonia domum hospitalem repetens, canum morsibus laniatus obiit: crudelitas fati tanto ingenio non debita.","Poetry"
"Seneca","Ad Lucilium Epistulae Morales","Early Imperial","","...essent, totus populus ad eiciendum et actorem et carmen consurrexit uno impetu, donec Euripides in medium ipse prosilivit petens, ut expectarent viderentque, quem admirator auri...","Poetry"
"Seneca","Quaestiones Naturales","Early Imperial","","...usque decurrere. In eadem opinione omnis uetustas fuit: hoc Aeschylus, Sophocles, Euripides tradunt. Sed falsum esse argumentis pluribus patet.","Poetry"
"Pliny The Elder","Naturalis Historia, Book 7","Early Imperial","","...elector, plurimi poe+tae dixere  primique, ut arbitror, aeschylus, philoxenus, euripides, nicander, satyrus. quod esse falsum italiae testimonio patet. diligentiores eorum... ...in hiberia hoc est in hispania eridanum esse dixit eundemque appellari rhodanum, euripides rursus et Apollonius in hadriatico litore confluere rhodanum et padum, faciliorem...","Poetry"
"Pliny The Elder","Naturalis Historia","Early Imperial","","...elector, plurimi poe+tae dixere  primique, ut arbitror, aeschylus, philoxenus, euripides, nicander, satyrus. quod esse falsum italiae testimonio patet. diligentiores eorum... ...in hiberia hoc est in hispania eridanum esse dixit eundemque appellari rhodanum, euripides rursus et Apollonius in hadriatico litore confluere rhodanum et padum, faciliorem...","Poetry"
"Quintilian","Institutio Oratoria","Early Imperial","","sed longe clarius illustraverunt hoc opus Sophocles atque Euripides, quorum in dispari dicendi via uter sit poeta melior, inter plurimos quaeritur;...","Poetry"
"Quintilian","Institutio Oratoria, Book 10","Early Imperial","","sed longe clarius illustraverunt hoc opus Sophocles atque Euripides, quorum in dispari dicendi via uter sit poeta melior, inter plurimos quaeritur;...","Poetry"
"Gellius","Attic Nights, Book 13","Later Imperial","","Quod quidem nos admodum miramur; nam scriptum eum legimus in tragoedia Sophocli quae inscripta est αἴας λοκρός, prior autem natus fuit Sophocles quam Euripides.","Poetry"
"Gellius","Attic Nights","Later Imperial","","Quod quidem nos admodum miramur; nam scriptum eum legimus in tragoedia Sophocli quae inscripta est αἴας λοκρός, prior autem natus fuit Sophocles quam Euripides.","Poetry"
"Gellius","Attic Nights, Book 13","Later Imperial","","...paucis syllabis. Aeschylus sic:  σιγῶν θ' ὅπου δεῖ καὶ λέγων τὰ καίρια, Euripides ita:  σιγᾶν θ' ὅπου δεῖ καὶ λέγειν ἵν' ἀσφαλές.. Fuit autem Aeschylus...","Poetry"
"Gellius","Attic Nights","Later Imperial","","...paucis syllabis. Aeschylus sic:  σιγῶν θ' ὅπου δεῖ καὶ λέγων τὰ καίρια, Euripides ita:  σιγᾶν θ' ὅπου δεῖ καὶ λέγειν ἵν' ἀσφαλές.. Fuit autem Aeschylus...","Poetry"
"Gellius","Attic Nights, Book 13","Later Imperial","","...esse usus ac tali ioco dignus quali apud Aristophanen, facetissimum comicorum, Euripides Aeschylum insectatus est, cum ait:  δὶς ταὐτὸν ἡμῖν εἶπεν ὁ σοφὸς αἰσχύλος....","Poetry"
