Author,Title,Era,Locus,Text,Poetry/Prose
"Cicero","De Divinatione","Republic","","...res publica, in qua id contigisset. Eiusdem generis etiam illud est, quod scribit Herodotus, Croesi filium, cum esset infans, locutum; quo ostento regnum patris et domum funditus...","Poetry"
"Cicero","De Divinatione","Republic","","...accidisset, verum oraclum fuisset. Cur autem hoc credam umquam editum Croeso? aut Herodotum cur veraciorem ducam Ennio? Num minus ille potuit de Croeso quam de Pyrrho fingere...","Poetry"
"Cicero","Epistulae Ad Familiares","Republic","","...ingenium mihi solum suppeditatum fuerit tuum, sicut Timoleonti a Timaeo aut ab Herodoto Themistocli, sed etiam auctoritas clarissimi et spectatissimi viri et in rei p....","Poetry"
"Cicero","Epistulae Ad Familiares, Book 5","Republic","","...ingenium mihi solum suppeditatum fuerit tuum, sicut Timoleonti a Timaeo aut ab Herodoto Themistocli, sed etiam auctoritas clarissimi et spectatissimi viri et in rei p....","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...beatae vitae sapientia neque expectat ultimum tempus aetatis, quod Croeso scribit Herodotus praeceptum a Solone. At enim, quem ad modum tute dicebas, negat Epicurus diuturnitatem...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 2","Republic","","...beatae vitae sapientia neque expectat ultimum tempus aetatis, quod Croeso scribit Herodotus praeceptum a Solone. At enim, quem ad modum tute dicebas, negat Epicurus diuturnitatem...","Poetry"
"Cicero","De Officiis","Republic","","Mihi quidem non apud Medos solum, ut ait Herodotus, sed etiam apud maiores nostros iustitiae fruendae causa videntur olim bene morati...","Poetry"
"Cicero","De Officiis, Book 2","Republic","","Mihi quidem non apud Medos solum, ut ait Herodotus, sed etiam apud maiores nostros iustitiae fruendae causa videntur olim bene morati...","Poetry"
"Cicero","De Oratore","Republic","","...ceteras res inlustris tum ad historiam scribendam maxime se applicaverunt: namque et Herodotum illum, qui princeps genus hoc ornavit, in causis nihil omnino versatum esse accepimus;...","Poetry"
"Cicero","De Oratore, Book 2","Republic","","...ceteras res inlustris tum ad historiam scribendam maxime se applicaverunt: namque et Herodotum illum, qui princeps genus hoc ornavit, in causis nihil omnino versatum esse accepimus;...","Poetry"
"Cicero","Orator","Republic","","itaque et Herodotus et eadem superiorque aetas numero caruit nisi quando temere ac fortuito, et scriptores...","Poetry"
"Cicero","Orator","Republic","","...efficit numerum sine ulla aperta oratoris industria—; itaque si quae veteres illi, Herodotum dico et Thucydidem totamque eam aetatem, apte numeroseque dixerunt, ea non numero...","Poetry"
"Cicero","Orator","Republic","","...nascentia minuta et versiculorum similia quaedam nimiumque depicta. Quo magis sunt Herodotus Thucydidesque mirabiles; quorum aetas cum in eorum tempora quos nominavi incidisset,...","Poetry"
"Cicero","Tusculanae Disputationes","Republic","","...inmortalium iudicia solent in scholis proferre de morte, nec vero ea fingere ipsi, sed Herodoto auctore aliisque pluribus. primum Argiae sacerdotis Cleobis et Bito filii praedicantur....","Poetry"
"Cicero","Tusculanae Disputationes, Book 1","Republic","","...inmortalium iudicia solent in scholis proferre de morte, nec vero ea fingere ipsi, sed Herodoto auctore aliisque pluribus. primum Argiae sacerdotis Cleobis et Bito filii praedicantur....","Poetry"
"Cicero","Divinatio In C Verrem","Republic","","...cognomine, homo sane locuples et domi nobilis. sed is fieri nullo modo poterat si Herodotus quidam adesset: ei locus ille atque honos in illum annum ita deberi putabatur ut... ...defertur et istius more deciditur: toreumata sane nota et pretiosa auferuntur. Herodotus Romae erat; satis putabat se ad comitia tempore venturum si pridie venisset. iste, ne aut alio mense ac fas erat comitia haberentur, aut Herodoto praesenti honos adimeretur, (id quod iste non laborabat, Climachias minime volebat),... ...fuit—excogitat, inquam, quem ad modum mense illo legitimo comitia haberentur nec tamen Herodotus adesse posset.","Poetry"
"Cicero","Divinatio In C Verrem, Book 3","Republic","","...cognomine, homo sane locuples et domi nobilis. sed is fieri nullo modo poterat si Herodotus quidam adesset: ei locus ille atque honos in illum annum ita deberi putabatur ut... ...defertur et istius more deciditur: toreumata sane nota et pretiosa auferuntur. Herodotus Romae erat; satis putabat se ad comitia tempore venturum si pridie venisset. iste, ne aut alio mense ac fas erat comitia haberentur, aut Herodoto praesenti honos adimeretur, (id quod iste non laborabat, Climachias minime volebat),... ...fuit—excogitat, inquam, quem ad modum mense illo legitimo comitia haberentur nec tamen Herodotus adesse posset.","Poetry"
"Cicero","Divinatio In C Verrem","Republic","","Herodotus cum Roma revertitur, diebus, ut ipse putabat, xv ante comitia, offendit eum mensem...","Poetry"
"Cicero","Divinatio In C Verrem, Book 3","Republic","","Herodotus cum Roma revertitur, diebus, ut ipse putabat, xv ante comitia, offendit eum mensem...","Poetry"
"Vitruvius","De Architectura","Augustan","","...quorum scriptorum hi sunt auctores: Theophrastos, Timaeus, Posidonios, Hegesias, Herodotus, Aristides, Metrodorus, qui magna vigilantia et infinito studio locorum proprietates,...","Poetry"
"Valerius Maximus","Facta Et Dicta Memorabilia","Early Imperial","","Huius regis consummationem annorum minus admirabilem faciunt Aethiopes, quos Herodotus scribit centesimum et uicesimum annum transgredi, et Indi, de quibus Ctesias idem tradit, et  Epimenides Cnosius, quem Theopompus dicit septem et l et centum annos uixisse.","Poetry"
"Seneca The Elder","Suasoriae","Early Imperial","","...sententia DORIONIS , cum posuisset hoc dixisse trecentis Leonidam quod puto etiam apud Herodotum  esse ἀριστοποιεῖσθαι ὡς ἐν ᾅδου δειπνησομένους.","Poetry"
"Flavius Josephus","De Iudaeorum Vetustate Sive Contra Apion","Early Imperial","","...ostendit esse mendacem, Ephorum uero Timaeus et . Timaeum qui post illum fuerunt. Herodotum uero cuncti;","Poetry"
"Flavius Josephus","De Iudaeorum Vetustate Sive Contra Apion","Early Imperial","","uerum neque Herodotus Alicarnaseus nostram ignorauit gentem, sed quodam modo eius meminisse cognoscitur.","Poetry"
"Flavius Josephus","De Iudaeorum Vetustate Sive Contra Apion","Early Imperial","","et hoc apparet etiam circa Europam contigisse: quando de Romanorum ciuitate tam longo tempore adepta potestate tantasque causas belli conficiente neque Herodotus neque Thucydides nec ullus qui fuit cum istis fecit aliquam mentionem; sed sero tandem et uix ad Graecos potuit eorum notitia peruenire.","Poetry"
"Flavius Josephus","De Iudaeorum Vetustate Sive Contra Apion","Early Imperial","","...regionis historiam ex sacris, sicuti ait ipse, interpretatus libris, frequenter arguit Herodotum in Aegyptiacis ignoratione mentitum.","Poetry"
"Flavius Josephus","De Iudaeorum Vetustate Sive Contra Apion","Early Imperial","","caecus igitur fuit Apion, quando pro Aegyptiis nostras detractiones componens illos uidetur potius accusare, qui non solum utuntur sollemnitatibus, quas in nobis culpat iste, sed etiam alios circumcidi docent, sicuti dixit Herodotus.","Poetry"
"Quintilian","Institutio Oratoria","Early Imperial","","...cesserit Graecis, nec opponere Thucydidi Sallustium verear, neque indignetur sibi Herodotus aequari T. Livium, cum in narrando mirae iucunditatis clarissimique candoris, tum...","Poetry"
"Quintilian","Institutio Oratoria, Book 10","Early Imperial","","...cesserit Graecis, nec opponere Thucydidi Sallustium verear, neque indignetur sibi Herodotus aequari T. Livium, cum in narrando mirae iucunditatis clarissimique candoris, tum...","Poetry"
"Quintilian","Institutio Oratoria","Early Imperial","","...densus et brevis et semper instans sibi Thucydides, dulcis et candidus et fusus Herodotus; ille concitatis hic remissis adfectibus melior, ille contionibus hic sermonibus,...","Poetry"
"Quintilian","Institutio Oratoria, Book 10","Early Imperial","","...densus et brevis et semper instans sibi Thucydides, dulcis et candidus et fusus Herodotus; ille concitatis hic remissis adfectibus melior, ille contionibus hic sermonibus,...","Poetry"
"Quintilian","Institutio Oratoria, Book 9","Early Imperial","","...profecerant, puto. neque enim mihi quamlibet magnus auctor Cicero persuaserit, Lysian, Herodotum, Thucydiden parum studiosos eius fuisse. genus fortasse sint secuti non idem,","Poetry"
"Quintilian","Institutio Oratoria","Early Imperial","","...profecerant, puto. neque enim mihi quamlibet magnus auctor Cicero persuaserit, Lysian, Herodotum, Thucydiden parum studiosos eius fuisse. genus fortasse sint secuti non idem,","Poetry"
"Quintilian","Institutio Oratoria, Book 9","Early Imperial","","...contionibus quidem etiam similiter cadentia quaedam et contraposita deprehendas. In Herodoto vero cum omnia (ut ego quidem sentio) leniter fluunt, tum ipsa διάλεκτος habet...","Poetry"
"Quintilian","Institutio Oratoria","Early Imperial","","...contionibus quidem etiam similiter cadentia quaedam et contraposita deprehendas. In Herodoto vero cum omnia (ut ego quidem sentio) leniter fluunt, tum ipsa διάλεκτος habet...","Poetry"
"Gellius","Attic Nights, Book 1","Later Imperial","","Quod Thucydides, scriptor inclitus, Lacedaemonios in acie non tuba, sed tibiis esse usos dicit verbaque eius super ea re posita; quodque Herodotus Alyattem regem fidicinas in procinctu habuisse tradit; atque inibi quaedam notata de Gracchi fistula contionaria.","Poetry"
"Gellius","Attic Nights","Later Imperial","","Quod Thucydides, scriptor inclitus, Lacedaemonios in acie non tuba, sed tibiis esse usos dicit verbaque eius super ea re posita; quodque Herodotus Alyattem regem fidicinas in procinctu habuisse tradit; atque inibi quaedam notata de Gracchi fistula contionaria.","Poetry"
"Gellius","Attic Nights, Book 1","Later Imperial","","Alyattes autem, rex terrae Lydiae, more atque luxu barbarico praeditus, cum bellum Milesiis faceret, ut Herodotus in Historiis tradit, concinentes habuit fistulatores et fidicines atque feminas etiam tibicinas in exercitu atque in procinctu habuit, lascivientium delicias conviviorum.","Poetry"
"Gellius","Attic Nights","Later Imperial","","Alyattes autem, rex terrae Lydiae, more atque luxu barbarico praeditus, cum bellum Milesiis faceret, ut Herodotus in Historiis tradit, concinentes habuit fistulatores et fidicines atque feminas etiam tibicinas in exercitu atque in procinctu habuit, lascivientium delicias conviviorum.","Poetry"
"Gellius","Attic Nights","Later Imperial","","LEAENAS inter omnem vitam semel parere eoque uno partu numquam edere plures quam unum,  Herodotus in tertia Historia scriptum reliquit.","Poetry"
"Gellius","Attic Nights, Book 13","Later Imperial","","LEAENAS inter omnem vitam semel parere eoque uno partu numquam edere plures quam unum,  Herodotus in tertia Historia scriptum reliquit.","Poetry"
"Gellius","Attic Nights","Later Imperial","","Diversum de natura leonum dixisse Homerum in carminibus et Herodotum in historiis.","Poetry"
"Gellius","Attic Nights, Book 13","Later Imperial","","Diversum de natura leonum dixisse Homerum in carminibus et Herodotum in historiis.","Poetry"
"Gellius","Attic Nights","Later Imperial","","HELLANICUS, Herodotus, Thucydides, historiae scriptores, in isdem fere temporibus laude ingenti floruerunt et non nimis longe distantibus fuerunt aetatibus.","Poetry"
"Gellius","Attic Nights, Book 15","Later Imperial","","HELLANICUS, Herodotus, Thucydides, historiae scriptores, in isdem fere temporibus laude ingenti floruerunt et non nimis longe distantibus fuerunt aetatibus.","Poetry"
"Gellius","Attic Nights","Later Imperial","","Nam Hellanicus initio belli Peloponnesiaci fuisse quinque et sexaginta annos natus videtur, Herodotus tres et quinquaginta, Thucydides quadraginta.","Poetry"
"Gellius","Attic Nights, Book 15","Later Imperial","","Nam Hellanicus initio belli Peloponnesiaci fuisse quinque et sexaginta annos natus videtur, Herodotus tres et quinquaginta, Thucydides quadraginta.","Poetry"
"Gellius","Attic Nights","Later Imperial","","De aetatibus historicorum nobilium, Hellanici, Herodoti, Thucydidis.","Poetry"
"Gellius","Attic Nights, Book 15","Later Imperial","","De aetatibus historicorum nobilium, Hellanici, Herodoti, Thucydidis.","Poetry"
"Gellius","Attic Nights","Later Imperial","","Historia ex Herodoti libris sumpta de Psyllorum interitu, qui in Syrtibus Africanis colebant.","Poetry"
"Gellius","Attic Nights, Book 16","Later Imperial","","Historia ex Herodoti libris sumpta de Psyllorum interitu, qui in Syrtibus Africanis colebant.","Poetry"
"Gellius","Attic Nights","Later Imperial","","Hac eadem vi praeditos esse quosdam videmus, qui Psylli vocantur. Quorum super nomine et genere cum in veteribus litteris quaesissem, in quarto denique Herodoti libro fabulam de Psyllis hanc invenimus:","Poetry"
"Gellius","Attic Nights, Book 16","Later Imperial","","Hac eadem vi praeditos esse quosdam videmus, qui Psylli vocantur. Quorum super nomine et genere cum in veteribus litteris quaesissem, in quarto denique Herodoti libro fabulam de Psyllis hanc invenimus:","Poetry"
"Gellius","Attic Nights","Later Imperial","","CELERI admodum et cohibili oratione vocumque filo tereti et candido fabulam scripsit Herodotus super fidicine illo Arione.","Poetry"
"Gellius","Attic Nights, Book 16","Later Imperial","","CELERI admodum et cohibili oratione vocumque filo tereti et candido fabulam scripsit Herodotus super fidicine illo Arione.","Poetry"
"Gellius","Attic Nights","Later Imperial","","Sumpta historia ex Herodoti libro super fidicine Arione.","Poetry"
"Gellius","Attic Nights, Book 16","Later Imperial","","Sumpta historia ex Herodoti libro super fidicine Arione.","Poetry"
"Gellius","Attic Nights, Book 17","Later Imperial","","...fluviorum et fontium aquae gelu durentur, mare omne incongelabile sit. Tametsi Herodotus, inquit, historiae scriptor, contra omnium ferme qui haec quaesiverunt opinionem,...","Poetry"
"Gellius","Attic Nights","Later Imperial","","...fluviorum et fontium aquae gelu durentur, mare omne incongelabile sit. Tametsi Herodotus, inquit, historiae scriptor, contra omnium ferme qui haec quaesiverunt opinionem,...","Poetry"
"Gellius","Attic Nights, Book 3","Later Imperial","","Quod esse magis verum arbitramur quam quod Herodotus, homo fabulator, in primo Historiarum inventum esse sub terra scripsit Oresti corpus...","Poetry"
"Gellius","Attic Nights","Later Imperial","","Quod esse magis verum arbitramur quam quod Herodotus, homo fabulator, in primo Historiarum inventum esse sub terra scripsit Oresti corpus...","Poetry"
"Gellius","Attic Nights, Book 5","Later Imperial","","Herodotus in Historiis huius memoriae scriptor est eiusque verba sunt, quae prima dixisse filium Croesi refert: ̓́ανθρωπε, μὴ κτεῖνε κροῖσον.","Poetry"
"Gellius","Attic Nights","Later Imperial","","Herodotus in Historiis huius memoriae scriptor est eiusque verba sunt, quae prima dixisse filium Croesi refert: ̓́ανθρωπε, μὴ κτεῖνε κροῖσον.","Poetry"
"Gellius","Attic Nights, Book 5","Later Imperial","","Historia de Croesi filio muto, ex Herodoti libris.","Poetry"
"Gellius","Attic Nights","Later Imperial","","Historia de Croesi filio muto, ex Herodoti libris.","Poetry"
"Gellius","Attic Nights","Later Imperial","","QUOD Herodotus, scriptor historiae memoratissimus, parum vere dixerit unam solamque pinum arborum omnium caesam numquam denuo ex isdem radicibus pullulare; et quod item de aqua pluviali et nive rein non satis exploratam pro comperta posuerit.","Poetry"
"Gellius","Attic Nights, Book 8","Later Imperial","","QUOD Herodotus, scriptor historiae memoratissimus, parum vere dixerit unam solamque pinum arborum omnium caesam numquam denuo ex isdem radicibus pullulare; et quod item de aqua pluviali et nive rein non satis exploratam pro comperta posuerit.","Poetry"
"Tertullian","Apologeticum","Late Antique","","...sanguinis pabulo et eiusmodi tragicis ferculis legite, necubi relatum sit (est apud Herodotum, opinor), defusum brachiis sanguinem ex alterutro degustatum nationes quasdam foederi...","Poetry"
"Tertullian","De Anima","Late Antique","","...filiae Mandanae adhuc uirginis uesicam in diluuionem Asiae fluxisse somnio uiderit, Herodotus refert; item anno post nuptias eius ex isdem locis uitem exortam toti Asiae incubasse. hoc etiam Charon Lampsacenus Herodoto prior tradit. qui filium eius tanto operi interpretati sunt, non fefellerunt; siquidem...","Poetry"
"Tertullian","De Anima","Late Antique","","...caeco somno noctem transigere dicuntur, animae utique natura non taxatur. porro aut Herodoto fama mentita est nonnumquam in barbaros calumniosa aut magna uis eiusmodi daemonum...","Poetry"
"Tertullian","De Anima","Late Antique","","...parentum sepulcra mansitando captare, ut Heraclides scribit uel Nymphodorus uel Herodotus, et Celtas apud uirorum fortium busta eadem de causa abnoctare, ut Nicander affirmat,...","Poetry"
"Ammianus Marcellinus","Res Gestae","Late Antique","","...ad miracula septem provectae, quarum diuturnas surgendi difficultates scriptor Herodotus docet, ultra omnem altitudinem, quae humana manu confici potest, erectae sunt turres,...","Poetry"
"Ammianus Marcellinus","Res Gestae, Book 22","Late Antique","","...ad miracula septem provectae, quarum diuturnas surgendi difficultates scriptor Herodotus docet, ultra omnem altitudinem, quae humana manu confici potest, erectae sunt turres,...","Poetry"
"Ausonius","Commemoratio Professorum Burdigalensium","Late Antique","","...grammatice ad Scaurum atque Probum, promptissime rhetor, historiam callens Livii et Herodoti. omnis doctrinae ratio tibi cognita, quantam condit sescentis Varro voluminibus....","Poetry"
"Jerome","Epistulae","Late Antique","","historici Thucydiden, Sallustium, Herodotum, Liuium;","Poetry"
"Jerome","Epistulae","Late Antique","","hanc gentem Herodotus refert sub Dario, rege Medorum, uiginti annis Orientem tenuisse captiuum et ab Aegyptiis atque Aethiopibus annuum exegisse uectigal.","Poetry"
"Jerome Saint","Epistulae","Late Antique","","...aemulentur Homerum, Uergilium, Menandrum, Terentium; historici Thucydiden, Sallustium, Herodotum, Liuium; oratores Lysiam, Gracchos, Demosthenen, Tullium; et ut ad nostra ueniamus,...","Poetry"
"Jerome Saint","Epistulae","Late Antique","","aberat tunc Romanus exercitus et bellis ciuilibus in Italia tenebatur. hanc gentem Herodotus refert sub Dario, rege Medorum, uiginti annis Orientem tenuisse captiuum et ab Aegyptiis...","Poetry"
"Servius Honoratus","In Virgilii Georgicon Libros Commentarius","Late Antique","","...iuvenes reperti sunt mortui: ex quo probatum est, nihil esse morte praestantius. quod Herodotus apud Graecos plenissime commemorat in prima historia. 'donaria' autem proprie loca...","Poetry"
"Macrobius","Saturnalia","Late Antique","","Nam quod Herodotus historiarum scriptor contra omnium ferme qui haec quaesiverunt opinionem scripsit mare Bosphoricum, quod et Cimmericum appellat, earumque partium mare omne, quod Scythicum dicitur, id gelu constringi et consistere, aliter est ac putatur.","Poetry"
"Macrobius","Saturnalia, Book 7","Late Antique","","Nam quod Herodotus historiarum scriptor contra omnium ferme qui haec quaesiverunt opinionem scripsit mare Bosphoricum, quod et Cimmericum appellat, earumque partium mare omne, quod Scythicum dicitur, id gelu constringi et consistere, aliter est ac putatur.","Poetry"
