Author,Title,Era,Locus,Text,Poetry/Prose
"Cicero","Letters To Atticus","Republic","","...mulieres, ideo bene olere quia nihil olebant videbantur. meus autem liber totum Isocrati myrothecium atque omnis eius discipulorum arculas ac non nihil etiam Aristotelia...","Poetry"
"Cicero","Letters To Atticus, Book 2","Republic","","...mulieres, ideo bene olere quia nihil olebant videbantur. meus autem liber totum Isocrati myrothecium atque omnis eius discipulorum arculas ac non nihil etiam Aristotelia...","Poetry"
"Cicero","Letters To Atticus, Book 6","Republic","","Cicerones pueri amant inter se, exercentur, sed discunt, alter, uti dixit Isocrates in Ephoro et Theopompo, frenis eget, alter calcaribus. Quinto togam puram Liberalibus...","Poetry"
"Cicero","Letters To Atticus","Republic","","Cicerones pueri amant inter se, exercentur, sed discunt, alter, uti dixit Isocrates in Ephoro et Theopompo, frenis eget, alter calcaribus. Quinto togam puram Liberalibus...","Poetry"
"Cicero","Brutus","Republic","","...autem ieiunior, orationes eum scribere aliis coepisse, artem removisse; similiter Isocratem primo artem dicendi esse negavisse, scribere autem aliis solitum orationes, quibus...","Poetry"
"Cicero","Brutus","Republic","","...est videre, quo ferat natura sua quemque, et ea duce utentem sic instituere, ut Isocratem in acerrimo ingenio Theopompi et lenissimo Ephori dixisse traditum est, alteri se...","Poetry"
"Cicero","Brutus","Republic","","...digressi sumus, revertamur. exstitit igitur iam senibus illis quos paulo ante diximus Isocrates, cuius domus cunctae Graeciae quasi ludus quidam patuit atque officina dicendi;...","Poetry"
"Cicero","Epistulae Ad Familiares, Book 1","Republic","","...abhorrent enim a communibus praeceptis atque omnem antiquorum et Aristoteliam et Isocratiam rationem oratoriam complectuntur. scripsi etiam versibus tris libros 'de temporibus...","Poetry"
"Cicero","Epistulae Ad Familiares","Republic","","...abhorrent enim a communibus praeceptis atque omnem antiquorum et Aristoteliam et Isocratiam rationem oratoriam complectuntur. scripsi etiam versibus tris libros 'de temporibus...","Poetry"
"Cicero","De Inventione","Republic","","...opitulati sunt. nam fuit tempore eodem, quo Aristoteles, magnus et nobilis rhetor Isocrates;","Poetry"
