Author,Title,Era,Locus,Text,Poetry/Prose
"Cicero","Letters To Atticus, Book 13","Republic","","...est utrum aperte hominem asperner et respuam, ἢ σκολιαῖς ἀπάταις. ut enim Pindaro sic δίχα μοι νόος ἀτρέκειαν εἰπεῖν. omnino moribus meis illud aptius sed hoc...","Poetry"
"Cicero","Letters To Atticus","Republic","","...est utrum aperte hominem asperner et respuam, ἢ σκολιαῖς ἀπάταις. ut enim Pindaro sic δίχα μοι νόος ἀτρέκειαν εἰπεῖν. omnino moribus meis illud aptius sed hoc...","Poetry"
"Cicero","Letters To Atticus, Book 16","Republic","","...tantum. videndum enim est quid, cum Romae erit. non enim puto socrum illam ferendam. Pindaro de Cumano negaram.","Poetry"
"Cicero","Letters To Atticus","Republic","","...tantum. videndum enim est quid, cum Romae erit. non enim puto socrum illam ferendam. Pindaro de Cumano negaram.","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 2","Republic","","...maioribus nominabantur, sed quaero num existimes, non dico Homerum, Archilochum, Pindarum, sed Phidian, Polyclitum, Zeuxim ad voluptatem artes suas direxisse. ergo opifex...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...maioribus nominabantur, sed quaero num existimes, non dico Homerum, Archilochum, Pindarum, sed Phidian, Polyclitum, Zeuxim ad voluptatem artes suas direxisse. ergo opifex...","Poetry"
"Cicero","Orator","Republic","","...non Homero soli locus est, ut de Graecis loquar, aut Archilocho aut Sophocli aut Pindaro, sed horum vel secundis vel etiam infra secundos;","Poetry"
"Propertius","Elegies","Augustan","","qualis Pindarico spiritus ore tonat:","Poetry"
"Propertius","Elegiae 3","Augustan","","Qualis Pindarico spiritus ore tonat:","Poetry"
"Horace","Epistles","Augustan","","Pindarici fontis qui non expalluit haustus,","Poetry"
"Horace","Carmina, Book 4","Augustan","","Pindarum quisquis studet aemulari,","Poetry"
"Horace","Carmina","Augustan","","Pindarum quisquis studet aemulari,","Poetry"
"Horace","Carmina, Book 4","Augustan","","Pindarus ore,","Poetry"
"Horace","Carmina","Augustan","","Pindarus ore,","Poetry"
"Horace","Carmina, Book 4","Augustan","","sedes Homerus, Pindaricae latent","Poetry"
"Horace","Carmina","Augustan","","sedes Homerus, Pindaricae latent","Poetry"
"Ovid","Ex Ponto, Book 4","Augustan","","Pindaricae fidicen tu quoque, Rufe, lyrae;","Poetry"
"Ovid","Ex Ponto","Augustan","","Pindaricae fidicen tu quoque, Rufe, lyrae;","Poetry"
"Valerius Maximus","Facta Et Dicta Memorabilia","Early Imperial","","Alia nobilitas, alius furor, sed fidei par exemplum. Pindarus C. Cassium Philippensi proelio uictum, nuper ab eo manu missus, iussu ipsius obtruncatum... ...in necem patriae parentis exarserat, tanto torpore inligauit, ut se tremibunda Pindari genibus summitteret, ne publici parricidii quas merebatur poenas arbitrio piae uictoriae...","Poetry"
"Valerius Maximus","Facta Et Dicta Memorabilia","Early Imperial","","At Pindarus, cum in gymnasio super gremium pueri, quo unice delectabatur, capite posito quieti...","Poetry"
"Seneca","Quaestiones Naturales","Early Imperial","","Sed mouetur et Aegyptus et Delos, quam Uergilius stare iussit: ""immotamque coli dedit et contemnere uentos""; hanc philosophi quoque, credula natio, dixerunt non moueri auctore Pindaro.","Poetry"
"Statius","Silvae","Early Imperial","","seu tibi Pindaricis animus contendere plectris","Poetry"
"Statius","Silvae","Early Imperial","","Pindare, Thebas:","Poetry"
"Statius","Silvae","Early Imperial","","Pindarieae vox flexa lyrae volucrumque precator","Poetry"
"Quintilian","Institutio Oratoria","Early Imperial","","...virtutes extulit immortalis ingenii beatissima ubertas. non enim pluvias, ut ait Pindarus, aquas colligit, sed vivo gurgite exundat, dono quodam providentiae genitus, in...","Poetry"
"Quintilian","Institutio Oratoria, Book 10","Early Imperial","","...virtutes extulit immortalis ingenii beatissima ubertas. non enim pluvias, ut ait Pindarus, aquas colligit, sed vivo gurgite exundat, dono quodam providentiae genitus, in...","Poetry"
"Quintilian","Institutio Oratoria","Early Imperial","","novem vero Lyricorum longe Pindarus princeps spiritus magnificentia, sententiis, figuris, beatissima rerum verborumque copia et velut quodam eloquentiae flumine; propter quae Horatius eum merito credidit nemini imitabilem.","Poetry"
"Quintilian","Institutio Oratoria, Book 10","Early Imperial","","novem vero Lyricorum longe Pindarus princeps spiritus magnificentia, sententiis, figuris, beatissima rerum verborumque copia et velut quodam eloquentiae flumine; propter quae Horatius eum merito credidit nemini imitabilem.","Poetry"
"Quintilian","Institutio Oratoria","Early Imperial","","exquisitam vero figuram huius rei deprehendisse apud principem Lyricorum Pindarum videor id libro, quem inscripsit ὕμνους. is namque Herculis impetum adversus Meropas,...","Poetry"
