Author,Title,Era,Locus,Text,Poetry/Prose
"Cicero","Epistulae Ad Familiares","Republic","","...propter similitudinem 'penicillus ; at hodie 'penis' est in obscenis. 'at vero Piso ille Frugi in Annalibus suis queritur adulescentis ""peni deditos"" esse.' quod tu...","Poetry"
"Cicero","Epistulae Ad Familiares, Book 9","Republic","","...propter similitudinem 'penicillus ; at hodie 'penis' est in obscenis. 'at vero Piso ille Frugi in Annalibus suis queritur adulescentis ""peni deditos"" esse.' quod tu...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...potionis sitim. sed qui ad voluptatem omnia referens vivit ut Gallonius, loquitur ut Frugi ille Piso, non audio nec eum, quod sentiat, dicere existimo.","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 2","Republic","","...potionis sitim. sed qui ad voluptatem omnia referens vivit ut Gallonius, loquitur ut Frugi ille Piso, non audio nec eum, quod sentiat, dicere existimo.","Poetry"
"Cicero","Tusculanae Disputationes","Republic","","...aerarium, verbis tamen defendebat aerarium. quid verba audiam, cum facta videam? L. Piso ille Frugi semper contra legem frumentariam dixerat. is lege lata consularis ad...","Poetry"
"Cicero","Tusculanae Disputationes, Book 3","Republic","","...aerarium, verbis tamen defendebat aerarium. quid verba audiam, cum facta videam? L. Piso ille Frugi semper contra legem frumentariam dixerat. is lege lata consularis ad...","Poetry"
"Cicero","Divinatio In C Verrem, Book 4","Republic","","...quos tu pro singulis modiis aratoribus solveres, quid facere debuisti? si quod L. Piso ille Frugi, qui legem de pecuniis repetundis primus tulit, cum emisses quanti esset,...","Poetry"
"Cicero","Divinatio In C Verrem","Republic","","...quos tu pro singulis modiis aratoribus solveres, quid facere debuisti? si quod L. Piso ille Frugi, qui legem de pecuniis repetundis primus tulit, cum emisses quanti esset,...","Poetry"
"Gellius","Attic Nights, Book 11","Later Imperial","","SIMPLICISSIMA suavitate et rei et orationis L. Piso Frugi usus est in primo Annali, cum de Romuli regis vita atque victu scriberet.","Poetry"
"Gellius","Attic Nights","Later Imperial","","SIMPLICISSIMA suavitate et rei et orationis L. Piso Frugi usus est in primo Annali, cum de Romuli regis vita atque victu scriberet.","Poetry"
"Ausonius","Commemoratio Professorum Burdigalensium","Late Antique","","...blandis et sine lite iocis, mensa nitens, quam non censoria regula culpet nec nolit Frugi Piso vocare suam: nonnumquam pollens natalibus et dape festa, non tamen angustas...","Poetry"
