Author,Title,Era,Locus,Text,Poetry/Prose
"Plautus","Casina","Republic","","studiose expetere vos Plautinas fabulas,","Poetry"
"Plautus","Casina","Republic","","latine Plautus cum latranti nomine.","Poetry"
"Plautus","Casina","Republic","","in urbem non redibit: Plautus noluit,","Poetry"
"Plautus","Menaechmi","Republic","","apporto vobis Plautum, lingua non manu,","Poetry"
"Plautus","Poenulus","Republic","","latine Plautus patruus pultiphagonides.","Poetry"
"Plautus","Pseudolus","Republic","","Plautina longa fabula in scaenam venit.","Poetry"
"Plautus","Trinummus","Republic","","Philemo scripsit, Plautus vertit barbare,","Poetry"
"Plautus","Trinummus","Republic","","primum mihi Plautus nomen Luxuriae indidit;","Poetry"
"Plautus","Truculentus","Republic","","Perparvam partem postulat Plautus loci","Poetry"
"Terence","Adelphi","Republic","","Eam Commorientes Plautus fecit fabulam.","Poetry"
"Terence","Adelphi","Republic","","Meretricem in prima fabula. Eum Plautus locum","Poetry"
"Terence","Andria","Republic","","Qui quum hunc accusant Naevium, Plautum, Ennium","Poetry"
"Terence","Eunuchus","Republic","","Colacem esse Naevi et Plauti veterem fabulam;","Poetry"
"Cicero","Letters To Atticus, Book 1","Republic","","...quod omnes non modo homines verum etiam pecudes factum esse sciant, id Thalnam et Plautum et Spongiam et ceteras huius modi quisquilias statuere numquam esse factum.","Poetry"
"Cicero","Letters To Atticus","Republic","","...quod omnes non modo homines verum etiam pecudes factum esse sciant, id Thalnam et Plautum et Spongiam et ceteras huius modi quisquilias statuere numquam esse factum.","Poetry"
"Cicero","Letters To Brutus","Republic","","...volumus, numquam deerunt bella civilia. sed de hoc tu videris; de me possum idem quod Plautinus pater in Trinummo: mi/hi quidem aetas a/cta ferme est; tu/a istuc refert ma/xime.","Poetry"
"Cicero","Brutus","Republic","","...investigator antiquitatis putat in hoc erratum vitamque Naevi producit longius. Nam Plautus P. Claudio L. Porcio viginti annis post illos quos ante dixi consulibus mortuus...","Poetry"
