Author,Title,Era,Locus,Text,Poetry/Prose
"Cicero","Letters To Atticus, Book 2","Republic","","...gubernaculis, cupio istorum naufragia ex terra intueri, cupio, ut ait tuus amicus Sophocles,  κἂν ὑπὸ στέγῃ πυκνῆς ἀκούειν ψακάδος εὑδούσῃ φρενί.","Poetry"
"Cicero","Letters To Atticus","Republic","","...gubernaculis, cupio istorum naufragia ex terra intueri, cupio, ut ait tuus amicus Sophocles,  κἂν ὑπὸ στέγῃ πυκνῆς ἀκούειν ψακάδος εὑδούσῃ φρενί.","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...Andriam Terentii quam utramque Menandri legam? A quibus tantum dissentio, ut, cum Sophocles vel optime scripserit Electram, tamen male conversam Atilii mihi legendam putem,...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 1","Republic","","...Andriam Terentii quam utramque Menandri legam? A quibus tantum dissentio, ut, cum Sophocles vel optime scripserit Electram, tamen male conversam Atilii mihi legendam putem,...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 5","Republic","","...ipsum huc modo venientem convertebat ad sese Coloneus ille locus, cuius incola Sophocles ob oculos versabatur, quem scis quam admirer quamque eo delecter. me quidem ad altiorem...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...ipsum huc modo venientem convertebat ad sese Coloneus ille locus, cuius incola Sophocles ob oculos versabatur, quem scis quam admirer quamque eo delecter. me quidem ad altiorem...","Poetry"
"Cicero","De Officiis, Book 1","Republic","","...iique de communi officio convenissent et casu formosus puer praeteriret dixissetque Sophocles: O puerum pulchrum, Pericle! At enim praetorem, Sophocle, decet non solum manus, sed etiam oculos abstinentes habere. Atqui hoc idem Sophocles si in athletarum probatione dixisset, iusta reprehensione caruisset. Tanta vis est...","Poetry"
"Cicero","De Officiis","Republic","","...iique de communi officio convenissent et casu formosus puer praeteriret dixissetque Sophocles: O puerum pulchrum, Pericle! At enim praetorem, Sophocle, decet non solum manus, sed etiam oculos abstinentes habere. Atqui hoc idem Sophocles si in athletarum probatione dixisset, iusta reprehensione caruisset. Tanta vis est...","Poetry"
"Cicero","De Oratore, Book 3","Republic","","Atque id primum in poetis cerni licet, quibus est proxima cognatio cum oratoribus: quam sunt inter sese Ennius, Pacuvius Acciusque dissimiles, quam apud Graecos Aeschylus, Sophocles, Euripides, quamquam omnibus par paene laus in dissimili scribendi genere tribuitur!","Poetry"
"Cicero","De Oratore","Republic","","Atque id primum in poetis cerni licet, quibus est proxima cognatio cum oratoribus: quam sunt inter sese Ennius, Pacuvius Acciusque dissimiles, quam apud Graecos Aeschylus, Sophocles, Euripides, quamquam omnibus par paene laus in dissimili scribendi genere tribuitur!","Poetry"
