Author,Title,Era,Locus,Text,Poetry/Prose
"Cicero","Letters To Atticus","Republic","","...lectulo mori malle censueris quam in exsilio Themistocleo. qui cum fuisset, ut ait Thucydides, τῶν μὲν παρόντων δι' ἐλαχίστης βουλῆς κράτιστος γνώμων, τῶν δὲ μελλόντων...","Poetry"
"Cicero","Letters To Atticus, Book 10","Republic","","...lectulo mori malle censueris quam in exsilio Themistocleo. qui cum fuisset, ut ait Thucydides, τῶν μὲν παρόντων δι' ἐλαχίστης βουλῆς κράτιστος γνώμων, τῶν δὲ μελλόντων...","Poetry"
"Cicero","Letters To Atticus","Republic","","...honorifice in quemquam fieri potuit quod praetermiserim. sed haec fuerit ut ait Thucydides, ἐκβολὴ λόγου non inutilis.","Poetry"
"Cicero","Letters To Atticus, Book 7","Republic","","...honorifice in quemquam fieri potuit quod praetermiserim. sed haec fuerit ut ait Thucydides, ἐκβολὴ λόγου non inutilis.","Poetry"
"Cicero","Brutus","Republic","","...de Corio- lano, sic Clitarchus, sic Stratocles de Themistocle finxit. nam quem Thucydides, qui et Atheniensis erat et summo loco natus summusque vir et paulo aetate posterior,...","Poetry"
"Cicero","Brutus","Republic","","...Amatores huic desunt, sicuti multis iam ante saeculis et Philisto Syracusio et ipsi Thucydidi. Nam ut horum concisis sententiis, interdum etiam non satis [autem] apertis cum...","Poetry"
"Cicero","Brutus","Republic","","...est coepta mandari. tamen ante Periclem, cuius scripta quae-  dam feruntur, et Thucydidem, qui non nascentibus Athenis sed iam adultis fuerunt, littera nulla est quae quidem... ...Alcibiades Critias Theramenes; quibus temporibus quod dicendi genus viguerit ex Thucydidi scriptis, qui ipse tum fuit, intellegi maxime potest. Grandes erant verbis, crebri...","Poetry"
"Cicero","Brutus","Republic","","...potest? Hos imitamur.' Quo modo, qui sunt et inter se  dissimiles et aliorum? 'Thucydidem,' inquit, 'imitamur.' Optime, si historiam scribere, non si causas dicere cogitatis. Thucydides enim rerum gestarum pronuntiator sincerus et grandis etiam fuit; hoc forense concertatorium... ...istam quasi de musto ac lacu fervidam orationem fugiendam nec illam praeclaram Thucydidi nimis veterem tamquam Anicianam notam persequendam. Ipse enim Thucydides si posterius...","Poetry"
"Cicero","Brutus","Republic","","...vero cum omnibus oratoris laudibus refertas diceres et Catonem cum Philisto et Thucydide comparares, Brutone te id censebas an mihi probaturum? Quos enim ne e Graecis quidem...","Poetry"
"Cicero","De Optimo Genere Oratorum","Republic","","...volunt, et ad quam eos quasi formulam dicendi revocent intellegant. 'Sed exorietur Thucydides; eius enim quidam eloquentiam admirantur.' Id quidem recte; sed nihil ad eum oratorem...","Poetry"
"Cicero","De Optimo Genere Oratorum","Republic","","qua re si quis erit qui se Thucydideo genere causas in foro dicturum esse profiteatur, is abhorrebit etiam a suspicione eius quod versatur in re civili et forensi; sin Thucydidem laudabit, ascribat suae nostram sententiam. quin ipsum Isocratem, quem divinus auctor...","Poetry"
"Cicero","De Oratore","Republic","","...quantum ego Graece scripta intellegere possum, magno opere delectet; et post illum Thucydides omnis dicendi artificio mea sententia facile vicit;","Poetry"
