Author,Title,Era,Locus,Text,Poetry/Prose
"Caesar","De Bello Gallico, Book 7","Republic","","Trabes derectae perpetuae in longitudinem paribus intervallis, distantes inter se binos pedes, in solo collocantur.","Poetry"
"Caesar","De Bello Gallico","Republic","","Trabes derectae perpetuae in longitudinem paribus intervallis, distantes inter se binos pedes, in solo collocantur.","Poetry"
"Cicero","Epistulae Ad Familiares","Republic","","...etiam vincas; me prius inrideas quam te oportet. qua re nihil tibi opus est illud a Trabea, sed potius ἀπότευγμα meum. verum tamen quid tibi ego videor in epistulis? nonne...","Poetry"
"Cicero","Epistulae Ad Familiares, Book 9","Republic","","...etiam vincas; me prius inrideas quam te oportet. qua re nihil tibi opus est illud a Trabea, sed potius ἀπότευγμα meum. verum tamen quid tibi ego videor in epistulis? nonne...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...laetitiam in animo, commotionem suavem iucunditatis in corpore. nam et ille apud Trabeam voluptatem animi nimiam laetitiam dicit eandem, quam ille Caecilianus, qui omnibus...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 2","Republic","","...laetitiam in animo, commotionem suavem iucunditatis in corpore. nam et ille apud Trabeam voluptatem animi nimiam laetitiam dicit eandem, quam ille Caecilianus, qui omnibus...","Poetry"
"Cicero","Tusculanae Disputationes","Republic","","...Hector: Lae/tus sum lauda/ri me abs te, pa/ter, a laudato/ viro, aliter ille apud Trabeam:  Le/na deleni/ta argento nu/tum observabi/t meum, Qui/d velim, quid stu/deam. adveniens...","Poetry"
"Cicero","Tusculanae Disputationes, Book 4","Republic","","...Hector: Lae/tus sum lauda/ri me abs te, pa/ter, a laudato/ viro, aliter ille apud Trabeam:  Le/na deleni/ta argento nu/tum observabi/t meum, Qui/d velim, quid stu/deam. adveniens...","Poetry"
"Seneca","Quaestiones Naturales","Early Imperial","","...minaces mouet, illa autem calidior sicciorque terrarum exhalatio fulmina extundit. Trabes uero et faces, quae nullo alio inter se quam magnitudine distant, hoc modo fiunt:","Poetry"
"Seneca","Quaestiones Naturales","Early Imperial","","Trabes autem non transcurrunt nec praeteruolant ut faces sed commorantur et in eadem caeli parte collucent.","Poetry"
"Seneca","Quaestiones Naturales","Early Imperial","","...credebat hanc habentes differentiam quod his continuus ignis est, ceteris sparsus? Trabes enim flammam aequalem habent nec ullo loco intermissam aut languidam, in ultimis...","Poetry"
"Martialis","Epigrammata 5","Early Imperial","","Trabeasque et Idus fibulasque censusque,","Poetry"
"Gellius","Attic Nights, Book 15","Later Imperial","","...Licinium facio Atilium. In séxto consequétur hos Teréntius, Turpílius septimúm, Trabea octavum óptinet, Nonó loco esse fácile facio Lúscium. Decimum áddo causa antiquitatis...","Poetry"
"Gellius","Attic Nights","Later Imperial","","...Licinium facio Atilium. In séxto consequétur hos Teréntius, Turpílius septimúm, Trabea octavum óptinet, Nonó loco esse fácile facio Lúscium. Decimum áddo causa antiquitatis...","Poetry"
"Ambrose","Expositio De Psalmo Cxviii","Late Antique","","Trabes domorum nostrarum cedri.","Poetry"
"Ambrose","Expositio Psalmi Cxviii","Late Antique","","Trabes domorum nostrarum cedri.","Poetry"
"Eucherius Of Lyon","Formulae Spiritalis Intellegentiae","Late Antique","","Trabes peccatum grauius; in euangelio: eice primum trabem de oculo tuo.","Poetry"
"William Of Tyre","Historia Rerum In Partibus Transmarinis Gestarum","Medieval","","...deposuerant, resumptis, ad eam partem unanimiter convolant, qua murus deciderat. Trabes itaque immensae magnitudinis et ligna ingentia, quorum illis ex navibus multa erat...","Poetry"
"Saxo Grammaticus","Gesta Danorum","Unknown","","...hospitaliter recepissent, habebant, liberalitatis specie latrocinium obscurare callentes. Trabem enim in modum preli oblongam eandemque ferri acumine praeditam arcanis quibusdam...","Poetry"
