Author,Title,Era,Locus,Text,Poetry/Prose
"Cicero","Letters To Atticus","Republic","","quod vereris ne ἀδόλεσχος mihi tu, quis minus? cui, ut Aristophani Archilochi iambus, sic epistula tua longissima quaeque optima videtur. quod me admones, tu...","Poetry"
"Cicero","Letters To Atticus, Book 16","Republic","","quod vereris ne ἀδόλεσχος mihi tu, quis minus? cui, ut Aristophani Archilochi iambus, sic epistula tua longissima quaeque optima videtur. quod me admones, tu...","Poetry"
"Cicero","Letters To Atticus","Republic","","comitia Bibulus cum Archilochio edicto in ante diem xv Kal.","Poetry"
"Cicero","Letters To Atticus, Book 2","Republic","","comitia Bibulus cum Archilochio edicto in ante diem xv Kal.","Poetry"
"Cicero","Letters To Atticus","Republic","","...amicum esse debere, tamen tantus fuit amor ut exhauriri nulla posset iniuria. itaque Archilochia in illum edicta Bibuli populo ita sunt iucunda ut eum locum ubi proponuntur prae...","Poetry"
"Cicero","Letters To Atticus, Book 2","Republic","","...amicum esse debere, tamen tantus fuit amor ut exhauriri nulla posset iniuria. itaque Archilochia in illum edicta Bibuli populo ita sunt iucunda ut eum locum ubi proponuntur prae...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 2","Republic","","...carebant inertes a maioribus nominabantur, sed quaero num existimes, non dico Homerum, Archilochum, Pindarum, sed Phidian, Polyclitum, Zeuxim ad voluptatem artes suas direxisse. ergo...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...carebant inertes a maioribus nominabantur, sed quaero num existimes, non dico Homerum, Archilochum, Pindarum, sed Phidian, Polyclitum, Zeuxim ad voluptatem artes suas direxisse. ergo...","Poetry"
"Cicero","De Natura Deorum","Republic","","...nam quid est quod minus probari possit, omnium in me incidere imagines, Homeri Archilochi Romuli Numae Pythagorae Platonis—nec ea forma qua illi fuerunt: quo modo illi ergo?...","Poetry"
"Cicero","De Natura Deorum, Book 1","Republic","","...nam quid est quod minus probari possit, omnium in me incidere imagines, Homeri Archilochi Romuli Numae Pythagorae Platonis—nec ea forma qua illi fuerunt: quo modo illi ergo?...","Poetry"
"Cicero","De Natura Deorum","Republic","","...et flagitia dicuntur. neque enim quem Hipponactis iambus laeserat aut qui erat Archilochi versu volneratus a deo immissum dolorem non conceptum a se ipso continebat, nec...","Poetry"
"Cicero","De Natura Deorum, Book 3","Republic","","...et flagitia dicuntur. neque enim quem Hipponactis iambus laeserat aut qui erat Archilochi versu volneratus a deo immissum dolorem non conceptum a se ipso continebat, nec...","Poetry"
"Cicero","Orator","Republic","","...consistere. Nam in poetis non Homero soli locus est, ut de Graecis loquar, aut Archilocho aut Sophocli aut Pindaro, sed horum vel secundis vel etiam infra secundos;","Poetry"
"Cicero","Tusculanae Disputationes, Book 1","Republic","","...doctis genus sit poëtarum, siquidem Homerus fuit et Hesiodus ante Romam conditam, Archilochus regnante Romulo, serius poëticam nos accepimus. annis fere cccccx post Romam conditam...","Poetry"
"Cicero","Tusculanae Disputationes","Republic","","...doctis genus sit poëtarum, siquidem Homerus fuit et Hesiodus ante Romam conditam, Archilochus regnante Romulo, serius poëticam nos accepimus. annis fere cccccx post Romam conditam...","Poetry"
"Horace","Ars Poetica","Augustan","","Archilochum proprio rabies armavit iambo;","Poetry"
"Horace","Epistles","Augustan","","Archilochi, non res et agentia verba Lycamben.","Poetry"
"Horace","Epistles","Augustan","","temperat Archilochi Musam pede mascula Sappho,","Poetry"
"Horace","Satires","Augustan","","Eupolin, Archilochum, comites educere tantos?","Poetry"
"Horace","Satires, Book 2","Augustan","","Eupolin, Archilochum, comites educere tantos?","Poetry"
"Valerius Maximus","Facta Et Dicta Memorabilia","Early Imperial","","...potest, tamen externa summatim cognosse fastidio non sit.  Lacedaemonii libros Archilochi e ciuitate sua exportari iusserunt, quod eorum parum uerecundam ac pudicam lectionem...","Poetry"
"Pliny The Elder","Naturalis Historia, Book 2","Early Imperial","","...patriam suam credidit  tantaeque rerum claritati tam benignum testimonium miscuit. archilochi poetae interfectores apollo arguit delphis. sophoclem tragici cothurni principem...","Poetry"
