Author,Title,Era,Locus,Text,Poetry/Prose
"Cicero","Letters To Atticus","Republic","","mihi quidem gratum est et erit gratius si non modo in tuis libris sed etiam in aliorum per librarios tuos  Aristophanem  reposueris pro Eupoli.","Poetry"
"Cicero","Letters To Atticus, Book 12","Republic","","mihi quidem gratum est et erit gratius si non modo in tuis libris sed etiam in aliorum per librarios tuos  Aristophanem  reposueris pro Eupoli.","Poetry"
"Cicero","Letters To Atticus","Republic","","quod vereris ne ἀδόλεσχος mihi tu, quis minus? cui, ut Aristophani Archilochi iambus, sic epistula tua longissima quaeque optima videtur. quod me admones,...","Poetry"
"Cicero","Letters To Atticus, Book 16","Republic","","quod vereris ne ἀδόλεσχος mihi tu, quis minus? cui, ut Aristophani Archilochi iambus, sic epistula tua longissima quaeque optima videtur. quod me admones,...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...senserit? quantum Aristoxeni ingenium consumptum videmus in musicis? quo studio Aristophanem putamus aetatem in litteris duxisse? quid de Pythagora? quid de Platone aut de Democrito...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 5","Republic","","...senserit? quantum Aristoxeni ingenium consumptum videmus in musicis? quo studio Aristophanem putamus aetatem in litteris duxisse? quid de Pythagora? quid de Platone aut de Democrito...","Poetry"
"Cicero","De Oratore","Republic","","...geometriam Euclide aut Archimede, num musicam Damone aut Aristoxeno, num ipsas litteras Aristophane aut Callimacho tractante tam discerptas fuisse, ut nemo genus universum complecteretur...","Poetry"
"Cicero","De Oratore, Book 3","Republic","","...geometriam Euclide aut Archimede, num musicam Damone aut Aristoxeno, num ipsas litteras Aristophane aut Callimacho tractante tam discerptas fuisse, ut nemo genus universum complecteretur...","Poetry"
"Cicero","Orator","Republic","","...rursus syllabam adiunxit insequentis sententiae; ita factus est anapaestus is qui Aristophaneus nominatur; quod ne accidat observari nec potest nec necesse est. Sed tamen hic corrector...","Poetry"
"Cicero","Orator","Republic","","...primae sine controversia deferebantur; qui si tenui genere uteretur, numquam ab Aristophane poeta fulgere tonare permiscere Graeciam dictus esset. Dicat igitur Attice venustissimus...","Poetry"
"Cicero","Letters To Quintus","Republic","","...Pomponia foris cenaret. dedit mihi epistulam legendam tuam, quam paulo ante acceperat, Aristophaneo modo valde me hercule et suavem et gravem ; qua sum admodum delectatus. dedit etiam...","Poetry"
"Vitruvius","De Architectura","Augustan","","...scripserunt, easdem sententias versibus in scaena pronuntiaverunt, ut Crates, Chionides, Aristophanes, maxime etiam cum his Alexis, qui Athenienses ait oportere ideo laudari, quod omnium...","Poetry"
"Vitruvius","De Architectura","Augustan","","...fuerunt, et quaesiit, si quem novissent ad id expeditum. tunc ei dixerunt esse quendam Aristophanen, qui summo studio summaque diligentia cotidie omnes libros ex ordine perlegeret. itaque conventu ludorum, cum secretae sedes iudicibus essent distributae, cum ceteris Aristophanes citatus, quemadmodum fuerat locus ei designatus, sedit.","Poetry"
"Vitruvius","De Architectura","Augustan","","...animadverterunt multitudini placuisse, ei primum praemium, insequenti secundum tribuerunt. Aristophanes vero, cum ab eo sententia rogaretur, eum primum renuntiari iussit, qui minime populo...","Poetry"
"Vitruvius","De Architectura","Augustan","","...confiteri. itaque rex iussit cum his agi furti condemnatosque cum ignominia dimisit, Aristophanen vero amplissimis muneribus ornavit et supra bybliothecam constituit.","Poetry"
"Horace","Satires","Augustan","","Eupolis atque Cratinus Aristophanesque poetae","Poetry"
"Horace","Satires, Book 1","Augustan","","Eupolis atque Cratinus Aristophanesque poetae","Poetry"
"Valerius Maximus","Facta Et Dicta Memorabilia","Early Imperial","","Aristophanis quoque altioris est prudentiae praeceptum, qui in comoedia introduxit remissum ab...","Poetry"
"Seneca","De Vita Beata","Early Imperial","","Praebui ego aliquando Aristophani materiam iocorum, tota illa comicorum poetarum manus in me venenatos sales suos...","Poetry"
"Pliny The Elder","Naturalis Historia, Book 1","Early Imperial","","...philisto. archyta. phylarcho. amphilocho athenaeo. anaxipoli thasio. apollodoro lemnio. aristophane milesio. antigono cymaeo. agathocle chio. Apollonio pergameno. aristandro athenaeo....","Poetry"
"Pliny The Elder","Naturalis Historia","Early Imperial","","...philisto. archyta. phylarcho. amphilocho athenaeo. anaxipoli thasio. apollodoro lemnio. aristophane milesio. antigono cymaeo. agathocle chio. Apollonio pergameno. aristandro athenaeo....","Poetry"
"Pliny The Elder","Naturalis Historia, Book 1","Early Imperial","","...archyta tarentino. amphilocho atheniense. anaxipoli thasio. apollodoro lemnio. aristophane milesio. antigono cymaeo. agathocle chio. Apollonio pergameno. aristandro athenaeo....","Poetry"
"Pliny The Elder","Naturalis Historia","Early Imperial","","...archyta tarentino. amphilocho atheniense. anaxipoli thasio. apollodoro lemnio. aristophane milesio. antigono cymaeo. agathocle chio. Apollonio pergameno. aristandro athenaeo....","Poetry"
"Pliny The Elder","Naturalis Historia, Book 1","Early Imperial","","...archyta. xenophonte. amphilocho athenaeo. anaxipoli thasio. apollodoro lemnio. aristophane milesio. antigono cymaeo. agathocle chio. Apollonio pergameno. aristandro athenaeo....","Poetry"
"Pliny The Elder","Naturalis Historia","Early Imperial","","...archyta. xenophonte. amphilocho athenaeo. anaxipoli thasio. apollodoro lemnio. aristophane milesio. antigono cymaeo. agathocle chio. Apollonio pergameno. aristandro athenaeo....","Poetry"
"Pliny The Elder","Naturalis Historia, Book 1","Early Imperial","","...archyta. xenophonte. amphilocho athenaeo. anaxipoli thasio. apollodoro lemnio. aristophane milesio. antigono cymaeo. agathocle chio. Apollonio pergameno. aristandro athenaeo....","Poetry"
"Pliny The Elder","Naturalis Historia","Early Imperial","","...archyta. xenophonte. amphilocho athenaeo. anaxipoli thasio. apollodoro lemnio. aristophane milesio. antigono cymaeo. agathocle chio. Apollonio pergameno. aristandro athenaeo....","Poetry"
"Pliny The Elder","Naturalis Historia, Book 1","Early Imperial","","...archyta. xenophonte. amphilocho atheniense. anaxipoli thasio. apollodoro lemnio. aristophane milesio. antigono cymaeo. agathocle chio. Apollonio pergameno. bacchio milesio....","Poetry"
"Pliny The Elder","Naturalis Historia","Early Imperial","","...archyta. xenophonte. amphilocho atheniense. anaxipoli thasio. apollodoro lemnio. aristophane milesio. antigono cymaeo. agathocle chio. Apollonio pergameno. bacchio milesio....","Poetry"
"Pliny The Elder","Naturalis Historia, Book 1","Early Imperial","","...archyta. xenophonte. amphilocho athenaeo. anaxipoli thasio. apollodoro lemnio. aristophane milesio. antigono cymaeo. agathocle chio. Apollonio pergameno. aristandro athenaeo....","Poetry"
"Pliny The Elder","Naturalis Historia","Early Imperial","","...archyta. xenophonte. amphilocho athenaeo. anaxipoli thasio. apollodoro lemnio. aristophane milesio. antigono cymaeo. agathocle chio. Apollonio pergameno. aristandro athenaeo....","Poetry"
"Pliny The Elder","Naturalis Historia, Book 5","Early Imperial","","...quibusdam nardum rusticum appellatum. unguenta ex ea radice fieri solita apud antiquos aristophanes, priscae comoediae poeta, testis est; unde quidam errore falso barbaricam eam appellabant....","Poetry"
"Pliny The Elder","Naturalis Historia","Early Imperial","","...quibusdam nardum rusticum appellatum. unguenta ex ea radice fieri solita apud antiquos aristophanes, priscae comoediae poeta, testis est; unde quidam errore falso barbaricam eam appellabant....","Poetry"
"Pliny The Elder","Naturalis Historia, Book 5","Early Imperial","","...ciet. decoctae sucus prodest stomacho, iocineri, renibus, vesicae. haec est quam aristophanes euripidi poetae obicit ioculariter: matrem eius ne olus quidem legitimum venditasse,...","Poetry"
"Pliny The Elder","Naturalis Historia","Early Imperial","","...ciet. decoctae sucus prodest stomacho, iocineri, renibus, vesicae. haec est quam aristophanes euripidi poetae obicit ioculariter: matrem eius ne olus quidem legitimum venditasse,...","Poetry"
"Pliny The Elder","Naturalis Historia","Early Imperial","","...in aegypto corollas vendentem ac, ne quis vulgariter electam putet, mire  gratam aristophani celeberrimo in arte grammatica, alius menandrum syracusanum incipientis iuventae...","Poetry"
"Pliny The Elder","Naturalis Historia, Book 2","Early Imperial","","...in aegypto corollas vendentem ac, ne quis vulgariter electam putet, mire  gratam aristophani celeberrimo in arte grammatica, alius menandrum syracusanum incipientis iuventae...","Poetry"
"Flavius Josephus","De Iudaeorum Vetustate Sive Contra Apion","Early Imperial","","adhuc enim super ea quae dicta sunt Theophilus et Theodotus et Manaseas et Aristophanes et Hermogenes et Euemerus et Cinon et Zopyrion et multi quidem alii simul, non enim ego omnibus libris incubui, non transitorie nostri fecere mentionem.","Poetry"
"Quintilian","Institutio Oratoria, Book 1","Early Imperial","","...pati posset. in qua sententia Hesiodum esse plurimi tradunt qui ante grammaticum Aristophanen fuerunt; nam is primus ὑποθήκας, in quo libro scriptum hoc invenitur, negavit...","Poetry"
"Quintilian","Institutio Oratoria","Early Imperial","","...pati posset. in qua sententia Hesiodum esse plurimi tradunt qui ante grammaticum Aristophanen fuerunt; nam is primus ὑποθήκας, in quo libro scriptum hoc invenitur, negavit...","Poetry"
"Quintilian","Institutio Oratoria, Book 1","Early Imperial","","...Maricas, qui est Hyperbolus, nihil se ex musice scire nisi litteras confitetur. Aristophanes quoque non uno libro sic institui pueros antiquitus solitos esse demonstrat, et...","Poetry"
"Quintilian","Institutio Oratoria","Early Imperial","","...Maricas, qui est Hyperbolus, nihil se ex musice scire nisi litteras confitetur. Aristophanes quoque non uno libro sic institui pueros antiquitus solitos esse demonstrat, et...","Poetry"
"Quintilian","Institutio Oratoria, Book 10","Early Imperial","","...superari. Apollonius in ordinem a grammaticis datum non venit, quia Aristarchus atque Aristophanes, poetarum iudices, neminem sui temporis in numerum redegerunt; non tamen contemnendum...","Poetry"
"Quintilian","Institutio Oratoria","Early Imperial","","...superari. Apollonius in ordinem a grammaticis datum non venit, quia Aristarchus atque Aristophanes, poetarum iudices, neminem sui temporis in numerum redegerunt; non tamen contemnendum...","Poetry"
"Quintilian","Institutio Oratoria, Book 10","Early Imperial","","plures eius auctores; Aristophanes tamen et Eupolis Cratinusque praecipui. tragoedias primus in lucem Aeschylus protulit,...","Poetry"
"Quintilian","Institutio Oratoria","Early Imperial","","plures eius auctores; Aristophanes tamen et Eupolis Cratinusque praecipui. tragoedias primus in lucem Aeschylus protulit,...","Poetry"
"Quintilian","Institutio Oratoria","Early Imperial","","hanc vim et celeritatem in Pericle miratur Eupolis, hanc fulminibus Aristophanes comparat, haec est vere dicendi facultas.","Poetry"
"Quintilian","Institutio Oratoria, Book 12","Early Imperial","","hanc vim et celeritatem in Pericle miratur Eupolis, hanc fulminibus Aristophanes comparat, haec est vere dicendi facultas.","Poetry"
"Gellius","Attic Nights, Book 1","Later Imperial","","Huiuscemodi autem loquacitatem verborumque turbam magnitudine inani vastam facetissimus poeta Aristophanes insignibus vocabulis denotavit in his versibus:  ̓́ανθρωπον ἀγριοποιόν, αὐθαδόστομον, ̓́εχοντ' ἀχάλινον, ἀκρατές, ἀπύλωτον στόμα, ̓απεριλάλητον, κομποφακελορρήμονα,","Poetry"
"Gellius","Attic Nights","Later Imperial","","Huiuscemodi autem loquacitatem verborumque turbam magnitudine inani vastam facetissimus poeta Aristophanes insignibus vocabulis denotavit in his versibus:  ̓́ανθρωπον ἀγριοποιόν, αὐθαδόστομον, ̓́εχοντ' ἀχάλινον, ἀκρατές, ἀπύλωτον στόμα, ̓απεριλάλητον, κομποφακελορρήμονα,","Poetry"
"Gellius","Attic Nights, Book 13","Later Imperial","","...putas, significantibus inepte et frigide esse usus ac tali ioco dignus quali apud Aristophanen, facetissimum comicorum, Euripides Aeschylum insectatus est, cum ait:  δὶς ταὐτὸν...","Poetry"
"Gellius","Attic Nights","Later Imperial","","...putas, significantibus inepte et frigide esse usus ac tali ioco dignus quali apud Aristophanen, facetissimum comicorum, Euripides Aeschylum insectatus est, cum ait:  δὶς ταὐτὸν...","Poetry"
"Gellius","Attic Nights, Book 15","Later Imperial","","Eius odii in mulieres Aristophanes quoque meminit ἐν ταῖς τροτέραις θεσμοφοριαζούσαις in his versibus:  νῦν οὖν...","Poetry"
"Gellius","Attic Nights","Later Imperial","","Eius odii in mulieres Aristophanes quoque meminit ἐν ταῖς τροτέραις θεσμοφοριαζούσαις in his versibus:  νῦν οὖν...","Poetry"
