Author,Title,Era,Locus,Text,Poetry/Prose
"Plautus","Rudens","Republic","","praeterea sinus, cantharus, epichysis, gaulus, cyathus.","Poetry"
"Cicero","Letters To Atticus","Republic","","...his novis amicitiis implicati sumus, ut crebro mihi vafer ille Siculus insusurret Epicharmus cantilenam illam suam;  νᾶφε καὶ μέμνας' ἀπιστεῖν: ἄρθρα ταῦτα τᾶν φρενῶν...","Poetry"
"Cicero","Letters To Atticus, Book 1","Republic","","...his novis amicitiis implicati sumus, ut crebro mihi vafer ille Siculus insusurret Epicharmus cantilenam illam suam;  νᾶφε καὶ μέμνας' ἀπιστεῖν: ἄρθρα ταῦτα τᾶν φρενῶν...","Poetry"
"Cicero","Lucullus","Republic","","...ambulare'? at cum somniavit ita narravit 'visus Homerus adesse poeta', idemque in Epicharmo 'nam videbar somniare med ego esse mortuum'. itaque simul ut experrecti sumus visa...","Poetry"
"Cicero","Letters To Quintus","Republic","","...epistulis† illis quas in Tusculano eius tu mihi ostendisti, nihil de praeceptis Epicharmi : Γνῶθι πῶς ἄλλῳ κέχρηται, totum denique vultum, sermonem, animum eius, quem...","Poetry"
"Cicero","Tusculanae Disputationes","Republic","","...ad quam cum sit decursum, nihil sit praeterea extimescendum. sed tu mihi videris Epicharmi, acuti nec insulsi hominis ut Siculi, sententiam sequi. Quam? non enim novi. Dicam,... ...sermone non plus solere quam in Graeco Latine. Et recte quidem. sed quae tandem est Epicharmi ista sententia? E/mori nolo/, sed me esse mo/rtuum nihil ae/stimo. Iam adgnosco...","Poetry"
"Cicero","Tusculanae Disputationes, Book 1","Republic","","...ad quam cum sit decursum, nihil sit praeterea extimescendum. sed tu mihi videris Epicharmi, acuti nec insulsi hominis ut Siculi, sententiam sequi. Quam? non enim novi. Dicam,... ...sermone non plus solere quam in Graeco Latine. Et recte quidem. sed quae tandem est Epicharmi ista sententia? E/mori nolo/, sed me esse mo/rtuum nihil ae/stimo. Iam adgnosco...","Poetry"
"Vitruvius","De Architectura","Augustan","","...in eam recidere, in qua ante fuerant, proprietatem. Pythagoras vero, Empedocles, Epicharmos aliique physici et philosophi haec principia esse quattuor proposuerunt: aerem,...","Poetry"
"Horace","Epistles","Augustan","","Plautus ad exemplar Siculi properare Epicharmi,","Poetry"
"Columella","De Re Rustica, Book 1","Early Imperial","","...Theophrasto. Siculi quoque non mediocri cura negotium istud prosecuti sunt Hieron et Epicharmus, cuiusdiscipulus Philometor et Attalus. Athenae vero scriptorum frequentiam pepererunt,...","Poetry"
"Columella","De Re Rustica","Early Imperial","","...Theophrasto. Siculi quoque non mediocri cura negotium istud prosecuti sunt Hieron et Epicharmus, cuiusdiscipulus Philometor et Attalus. Athenae vero scriptorum frequentiam pepererunt,...","Poetry"
"Columella","De Re Rustica, Book 7","Early Imperial","","stimulatum suo ictu ipsum se sauciat. Epicharmus autem Syracusanus, qui pecudum medicinas diligentissime conscripsit, affirmat pugnacem...","Poetry"
"Columella","De Re Rustica","Early Imperial","","stimulatum suo ictu ipsum se sauciat. Epicharmus autem Syracusanus, qui pecudum medicinas diligentissime conscripsit, affirmat pugnacem...","Poetry"
"Pliny The Elder","Naturalis Historia","Early Imperial","","...asclepiade. crateua. petronio diodoto. iolla. erasistato. diagora. andrea. mneside. epicharmo. damione. dalione. sosimene. tlepolemo. metrodoro. solone. lyco. olympiade thebana....","Poetry"
"Pliny The Elder","Naturalis Historia, Book 1","Early Imperial","","...asclepiade. crateua. petronio diodoto. iolla. erasistato. diagora. andrea. mneside. epicharmo. damione. dalione. sosimene. tlepolemo. metrodoro. solone. lyco. olympiade thebana....","Poetry"
