Author,Title,Era,Locus,Text,Poetry/Prose
"Caesar","De Bello Civili, Book 1","Republic","","item ex finitimis regionibus quas potest contrahit cohortes ex dilectibus Pompeianis; in his Camerino fugientem Lucilium Hirrum cum sex cohortibus, quas ibi in praesidio","Poetry"
"Caesar","De Bello Civili","Republic","","item ex finitimis regionibus quas potest contrahit cohortes ex dilectibus Pompeianis; in his Camerino fugientem Lucilium Hirrum cum sex cohortibus, quas ibi in praesidio","Poetry"
"Caesar","De Bello Civili, Book 3","Republic","","...Caesaris, petebant; magnaque inter eos in consilio fuit controversia, oporteretne Lucili Hirri, quod is a Pompeio ad Parthos missus esset, proximis comitiis praetoriis absentis...","Poetry"
"Caesar","De Bello Civili","Republic","","...Caesaris, petebant; magnaque inter eos in consilio fuit controversia, oporteretne Lucili Hirri, quod is a Pompeio ad Parthos missus esset, proximis comitiis praetoriis absentis...","Poetry"
"Cicero","Letters To Atticus","Republic","","sed ipse viderit. Cato me quidem delectat, sed etiam Bassum Lucilium sua.","Poetry"
"Cicero","Letters To Atticus, Book 12","Republic","","sed ipse viderit. Cato me quidem delectat, sed etiam Bassum Lucilium sua.","Poetry"
"Cicero","Letters To Atticus","Republic","","...fuit. dices hoc idem Varroni, si forte mutavit. nec est melius quicquam quam ut Lucilius, sustineas currum ut bonus saepe agitator equosque. semperque Carneades προβολὴν...","Poetry"
"Cicero","Letters To Atticus, Book 13","Republic","","...fuit. dices hoc idem Varroni, si forte mutavit. nec est melius quicquam quam ut Lucilius, sustineas currum ut bonus saepe agitator equosque. semperque Carneades προβολὴν...","Poetry"
"Cicero","Letters To Atticus","Republic","","...contumelia Siccae aut Septimiae, tantum ut sciant  παῖδες παίδων  sine φαλλῷ Luciliano eum ex C. Fadi filia liberos habuisse. atque utinam eum diem videam cum ista oratio...","Poetry"
"Cicero","Letters To Atticus, Book 16","Republic","","...contumelia Siccae aut Septimiae, tantum ut sciant  παῖδες παίδων  sine φαλλῷ Luciliano eum ex C. Fadi filia liberos habuisse. atque utinam eum diem videam cum ista oratio...","Poetry"
"Cicero","Letters To Atticus","Republic","","...pili nobilem sui generis Asinium Dentonem et reliquos cohortis eiusdem et Sex. Lucilium, T. Gavi Caepionis locupletis et splendidi hominis filium, tribunum militum. sane...","Poetry"
"Cicero","Letters To Atticus, Book 5","Republic","","...pili nobilem sui generis Asinium Dentonem et reliquos cohortis eiusdem et Sex. Lucilium, T. Gavi Caepionis locupletis et splendidi hominis filium, tribunum militum. sane...","Poetry"
"Cicero","Brutus","Republic","","...litterato homine scriptam esse aiebant, illo quem significat valde doctum esse Lucilius; alii multos nobilis, quod quisque potuisset, in illam orationem contulisse. tum...","Poetry"
"Cicero","Brutus","Republic","","...perspici potest. cumque discendi causa duobus peritissimis operam dedisset, L. Lucilio Balbo C. Aquilio Gallo, Galli hominis acuti et exercitati promptam et paratam in...","Poetry"
"Cicero","Brutus","Republic","","...in eo magistratu cenavisset apud praeconem Granium idque nobis bis narravisset Lucilius, tribunum plebis nesciremus fuisse. ita prorsus, inquit Brutus; sed ne de Scaevolae...","Poetry"
"Cicero","Brutus","Republic","","...nostro Q. Granio praecone dicacitate certare. Eon', inquit Brutus, de quo multa Lucilius?  Isto ipso; sed Tincam non minus multa ridicule dicentem Granius obruebat nescio...","Poetry"
"Cicero","Brutus","Republic","","...adhaeresceret; nullum nisi loco positum et tamquam in vermiculato emblemate, ut ait Lucilius, structum verbum videres; nec vero ullum aut durum aut insolens aut humile aut [in]...","Poetry"
"Cicero","De Divinatione","Republic","","...sane desidero quid respondeam; satis enim defensa religio est in secundo libro a Lucilio, cuius  disputatio tibi ipsi, ut in extremo tertio scribis, ad veritatem est visa...","Poetry"
"Cicero","Epistulae Ad Familiares, Book 12","Republic","","...nostrae, quae iusta est in eius modi et homines et civis. deinde qui magis hoc Lucilio licuerit adsumere libertatis quam nobis? cum etiam si odio pari fuerit in eos quos...","Poetry"
"Cicero","Epistulae Ad Familiares","Republic","","...nostrae, quae iusta est in eius modi et homines et civis. deinde qui magis hoc Lucilio licuerit adsumere libertatis quam nobis? cum etiam si odio pari fuerit in eos quos...","Poetry"
"Cicero","Epistulae Ad Familiares","Republic","","Trallis veni a. d. vi K. Sext. ibi mihi praesto fuit L. Lucilius cum litteris mandatisque tuis; quo quidem hominem neminem potuisti nec mihi amiciorem... ...aptiorem prudentioremve mittere. ego autem et tuas litteras legi libenter et audivi Lucilium diligenter. nunc, quoniam et tu ita sentis (scribis enim, quae de nostris officiis...","Poetry"
"Cicero","Epistulae Ad Familiares, Book 3","Republic","","Trallis veni a. d. vi K. Sext. ibi mihi praesto fuit L. Lucilius cum litteris mandatisque tuis; quo quidem hominem neminem potuisti nec mihi amiciorem... ...aptiorem prudentioremve mittere. ego autem et tuas litteras legi libenter et audivi Lucilium diligenter. nunc, quoniam et tu ita sentis (scribis enim, quae de nostris officiis...","Poetry"
"Cicero","Epistulae Ad Familiares, Book 8","Republic","","...Metellus Pius Scipio, L. Villius L. f. pom. annalis, C. Septimius T. f. qui., C. Lucilius C. f. Pup. Hirrus, C. Scribonius C. f. Pop. Curio, L. Ateius L. f. an. Capito, M....","Poetry"
"Cicero","Epistulae Ad Familiares","Republic","","...Metellus Pius Scipio, L. Villius L. f. pom. annalis, C. Septimius T. f. qui., C. Lucilius C. f. Pup. Hirrus, C. Scribonius C. f. Pop. Curio, L. Ateius L. f. an. Capito, M....","Poetry"
"Cicero","Epistulae Ad Familiares, Book 8","Republic","","...Metellus Pius Scipio, L. Villius L. f. pom. annalis, C. Septimius T. f. qui., C. Lucilius C. f. Pup. Hirrus, C. Scribonius C. f. Pop. Curio, L. Ateius L .f. an. Capito, M....","Poetry"
"Cicero","Epistulae Ad Familiares","Republic","","...Metellus Pius Scipio, L. Villius L. f. pom. annalis, C. Septimius T. f. qui., C. Lucilius C. f. Pup. Hirrus, C. Scribonius C. f. Pop. Curio, L. Ateius L .f. an. Capito, M....","Poetry"
"Cicero","Epistulae Ad Familiares","Republic","","...veteris leporis vestigium appareat. itaque te cum video, omnis mihi Granios, omnis Lucilios, vere ut dicam, Crassos quoque et Laelios videre videor. moriar, si praeter te quemquam...","Poetry"
"Cicero","Epistulae Ad Familiares, Book 9","Republic","","...veteris leporis vestigium appareat. itaque te cum video, omnis mihi Granios, omnis Lucilios, vere ut dicam, Crassos quoque et Laelios videre videor. moriar, si praeter te quemquam...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...optime scripserit Electram, tamen male conversam Atilii mihi legendam putem, de quo Lucilius:","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 1","Republic","","...optime scripserit Electram, tamen male conversam Atilii mihi legendam putem, de quo Lucilius:","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...fieri possit, ut ab Homero Ennius, Afranius a Menandro solet. Nec vero, ut noster Lucilius, recusabo, quo  minus omnes mea legant. utinam esset ille Persius, Scipio vero et...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 1","Republic","","...fieri possit, ut ab Homero Ennius, Afranius a Menandro solet. Nec vero, ut noster Lucilius, recusabo, quo  minus omnes mea legant. utinam esset ille Persius, Scipio vero et...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","quem quidem locum comit multa venustate et omni sale idem Lucilius, apud quem praeclare Scaevola: Graecum te, Albuci, quam Romanum atque Sabinum,...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 1","Republic","","quem quidem locum comit multa venustate et omni sale idem Lucilius, apud quem praeclare Scaevola: Graecum te, Albuci, quam Romanum atque Sabinum,...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...exquisitis, vitantes cruditatem, quibus vinum defusum e pleno sit chrysizon, ut ait Lucilius, cui nihildum situlus et sacculus abstulerit, adhibentis ludos et quae sequuntur,...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 2","Republic","","...exquisitis, vitantes cruditatem, quibus vinum defusum e pleno sit chrysizon, ut ait Lucilius, cui nihildum situlus et sacculus abstulerit, adhibentis ludos et quae sequuntur,...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","quid bene? dicet Lucilius: 'cocto, condito', sed cedo caput cenae: 'sermone bono', quid ex eo? 'si quaeris,...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 2","Republic","","quid bene? dicet Lucilius: 'cocto, condito', sed cedo caput cenae: 'sermone bono', quid ex eo? 'si quaeris,...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum","Republic","","...hilara vita amissa est? at hoc in eo M. Crasso, quem semel ait in vita risisse Lucilius, non contigit, ut ea re minus ἀγέλαστος, ut ait idem, vocaretur. Polycratem Samium...","Poetry"
"Cicero","De Finibus Bonorum Et Malorum, Book 5","Republic","","...hilara vita amissa est? at hoc in eo M. Crasso, quem semel ait in vita risisse Lucilius, non contigit, ut ea re minus ἀγέλαστος, ut ait idem, vocaretur. Polycratem Samium...","Poetry"
"Cicero","Lucullus","Republic","","...diceret; accipe quem ad modum eadem dicantur a Clitomacho in eo libro quem ad C. Lucilium scripsit poetam, cum scripsisset isdem de rebus ad L. Censorinum eum qui consul...","Poetry"
"Cicero","De Natura Deorum, Book 1","Republic","","...disputantem, ad quem tum Epicurei primas ex nostris hominibus deferebant. aderat etiam Q. Lucilius Balbus, qui tantos progressus habebat in Stoicis, ut cum excellentibus in eo genere...","Poetry"
"Cicero","De Natura Deorum","Republic","","...disputantem, ad quem tum Epicurei primas ex nostris hominibus deferebant. aderat etiam Q. Lucilius Balbus, qui tantos progressus habebat in Stoicis, ut cum excellentibus in eo genere...","Poetry"
"Cicero","De Natura Deorum, Book 1","Republic","","...est cuius principium aliquod sit nihil sit extremum? Pronoea vero si vestra est Lucili eadem, requiro quae paulo ante, ministros machinas omnem totius operis dissignationem...","Poetry"
"Cicero","De Natura Deorum","Republic","","...est cuius principium aliquod sit nihil sit extremum? Pronoea vero si vestra est Lucili eadem, requiro quae paulo ante, ministros machinas omnem totius operis dissignationem...","Poetry"
"Cicero","De Natura Deorum, Book 1","Republic","","Atque haec quidem vestra Lucili; qualia vero * est, ab ultimo repetam superiorum. Thales enim Milesius, qui primus...","Poetry"
"Cicero","De Natura Deorum","Republic","","Atque haec quidem vestra Lucili; qualia vero * est, ab ultimo repetam superiorum. Thales enim Milesius, qui primus...","Poetry"
"Cicero","De Natura Deorum, Book 1","Republic","","...liniamentorum, quae figura, quae species humana potest esse pulchrior? Vos quidem Lucili soletis (nam Cotta meus modo hoc modo illud), cum artificium effingitis fabricamque...","Poetry"
"Cicero","De Natura Deorum","Republic","","...liniamentorum, quae figura, quae species humana potest esse pulchrior? Vos quidem Lucili soletis (nam Cotta meus modo hoc modo illud), cum artificium effingitis fabricamque...","Poetry"
"Cicero","De Natura Deorum, Book 1","Republic","","...dicemus? Tubulus si Lucius umquam,  si Lupus aut Carbo aut Neptuni filius, ut ait Lucilius, putasset esse deos, tam periurus aut tam inpurus fuisset?","Poetry"
"Cicero","De Natura Deorum","Republic","","...dicemus? Tubulus si Lucius umquam,  si Lupus aut Carbo aut Neptuni filius, ut ait Lucilius, putasset esse deos, tam periurus aut tam inpurus fuisset?","Poetry"
"Cicero","De Natura Deorum","Republic","","...utraque re valuisti; corona tibi et iudices defuerunt. Sed ad ista alias, nunc Lucilium, si ipsi commodum est, audiamus.","Poetry"
"Cicero","De Natura Deorum, Book 2","Republic","","...utraque re valuisti; corona tibi et iudices defuerunt. Sed ad ista alias, nunc Lucilium, si ipsi commodum est, audiamus.","Poetry"
"Cicero","De Natura Deorum","Republic","","Tum Lucilius Ne egere quidem videtur inquit oratione prima pars. Quid enim potest esse tam apertum...","Poetry"
"Cicero","De Natura Deorum, Book 2","Republic","","Tum Lucilius Ne egere quidem videtur inquit oratione prima pars. Quid enim potest esse tam apertum...","Poetry"
"Cicero","De Natura Deorum","Republic","","Tum Lucilius An tibi inquit fabellae videntur? nonne ab A. Postumio aedem Castori et Polluci...","Poetry"
"Cicero","De Natura Deorum, Book 3","Republic","","Tum Lucilius An tibi inquit fabellae videntur? nonne ab A. Postumio aedem Castori et Polluci...","Poetry"
"Cicero","De Natura Deorum","Republic","","Tum Cotta Sic mehercule inquit Vellei; neque enim mihi par ratio cum Lucilio est ac tecum fuit. Qui tandem inquit ille. Quia mihi videtur Epicurus vester de...","Poetry"
"Cicero","De Natura Deorum, Book 3","Republic","","Tum Cotta Sic mehercule inquit Vellei; neque enim mihi par ratio cum Lucilio est ac tecum fuit. Qui tandem inquit ille. Quia mihi videtur Epicurus vester de...","Poetry"
"Cicero","De Natura Deorum","Republic","","Lucilius autem Vehementius inquit Cotta tu quidem invectus es in eam Stoicorum rationem quae...","Poetry"
"Cicero","De Natura Deorum, Book 3","Republic","","Lucilius autem Vehementius inquit Cotta tu quidem invectus es in eam Stoicorum rationem quae...","Poetry"
"Cicero","De Optimo Genere Oratorum","Republic","","...feram, gladiatorum par nobilissimum inducitur, Aeschines, tamquam Aeserninus, ut ait Lucilius, non spurcus homo,  sed acer et doctus cum Pacideiano hic componitur,—optimus longe...","Poetry"
