input,output
"erant praeterea haec animadvertenda in civitate, quae sunt apud Platonem nostrum scripta divinitus",EXTREMELY POSITIVE
"id enim iubet idem ille Plato, quo ego vehementer auctore moveor,",MODERATELY POSITIVE
"scripsi igitur Aristotelio more, quem ad modum quidem volui, tres libros in disputatione ac dialogo 'de oratore',",MODERATELY POSITIVE
quos arbitror Lentulo tuo fore non inutilis; abhorrent enim a communibus praeceptis atque omnnem antiquorum et Aristoteliam et Isocratiam rationem oratoriam complectuntur.,MODERATELY POSITIVE
quos arbitror Lentulo tuo fore non inutilis; abhorrent enim a communibus praeceptis atque omnnem antiquorum et Aristoteliam et Isocratiam rationem oratoriam complectuntur.,MODERATELY POSITIVE
"ut enim Aristarchus Homeri versum negat, quem non proba sic tu - libet enim mihi iocari - , quod disertum non erit, ne putaris meum.",MODERATELY NEGATIVE
"ut multi Graeci fecerunt, Callisthenes Phocicum bellum, Timaeus Pyrrhi, Polybius Numantinum, qui omnes a perpetuis suis historiis ea, quae dixi, bella separaverunt, tu quoque item civilem coniurationem ab hostilibus externisque bellis seiungeres",EXTREMELY POSITIVE
"ut multi Graeci fecerunt, Callisthenes Phocicum bellum, Timaeus Pyrrhi, Polybius Numantinum, qui omnes a perpetuis suis historiis ea, quae dixi, bella separaverunt, tu quoque item civilem coniurationem ab hostilibus externisque bellis seiungeres",EXTREMELY POSITIVE
"de qua suavissime quodam in prooemio scripsisti, a qua te flecti non magis potuisse demonstras quam Herculem Xenophontium ilium a Voluptate,",EXTREMELY POSITIVE
"unus enim Xenophontis libellus in eo rege laudando facile omnis imagines omnium statuasque superávit,",EXTREMELY POSITIVE
"atque hoc praestantius mihi fuerit et ad laetitiam animi et ad memoriae dignitatem, si in tua scripta pervenero, quam si in ceterorum, quod non ingenium mihi solum suppeditatum fuerit tuum, sicut Timoleonti a Timaeo aut ab Herodoto Themistocli, sed etiam auctoritas clarissimi et spectatissimi viri et in rei p. maximis gravissimisque causis cogniti atque in primis probat",EXTREMELY POSITIVE
"ut mihi non solum praeconium, quod, cum in Sigeum venisset, Alexander ab Homero Achilli tributum esse dixit, sed etiam grave testimonium impertitum clari hominis magnique videatur.",MODERATELY POSITIVE
"placet enim Hector ille mihi Naevianus, qui non tantum 'laudari' se laetatur, sed addit etiam 'a laudato viro.'",MODERATELY POSITIVE
Lepta suavissimus ediscat Hesiodum et habeat in ore '' et cetera.,MODERATELY POSITIVE
"Mirabar, quid esset, quod tu mihi litteras mittere intermisisses : indicavit mihi Pansa meus Epicureum te esse factum, o castra praeclara!",MODERATELY POSITIVE
"itaque ut primum Velia navigare coepi, instituí Topica Aristotelea conscribere ab ipsa urbe commonitus amantissima tui.",MODERATELY POSITIVE
"Ego autem quom omnis morbos reformido, tumquod Epicurum tuum Stoici male accipiunt,",MODERATELY NEGATIVE
"vides enim exaruisse iam veteremurbanitatem, ut Pomponius noster suo iure possit dicere:'nisi nos pauci rétineamus glóriam antiquam Atticam.'",MODERATELY POSITIVE
"quod haec 'pinnigero, non armigero in corpore tela exerceantur,' ut ait Philoctetes apud Accium, 'abiecta gloria.' sed tarnen omnia mihi erunt, si tu veneris, hilariora",EXTREMELY POSITIVE
"ut Servius, frater tuus, quem litteratissimum fuisse ludico, facile diceret: 'hie versus Plauti non est, hic est,' quod tritas auris haberet notandis generibus poetar",EXTREMELY POSITIVE
"nam omnem nostrani de re p. curam, cogitationem de dicenda in senatu sententia, commentationem causarum abiecimus, in Epicuri nos, adversarii nostri, castra coniecimus, nec tarnen ad hanc insolentiam, sed ad illam tuam lautitiam, veterem dico, cum in sumptum habebas ; etsi numquam plura praedia habuisti.",MODERATELY NEGATIVE
quare nihil tibi opus est illud a Trabea,MODERATELY NEGATIVE
"at vero Piso ille Frugi in Annalibus suis queritur adulescentis ""peni deditos"" esse",EXTREMELY NEGATIVE
ego servo et servabo - sic enim adsuevi - Platonis verecundiam,MODERATELY NEGATIVE
"quas habeo cum tuis combibonibus Epicuriis, optima opera eius uti soleo.",MODERATELY POSITIVE
"qui enim M. Antonium oppressent, is bellum confecerit; itaque Homerus non Aiacem nec Achillem sed Ulixem appellavit urbium ēversor",EXTREMELY NEGATIVE
deinde qui magis hoc Lucilio licuerit adsumere libertatis quam nobis?,MODERATELY NEGATIVE
"'Nunc hic dies aliam vítam adfert, álios mores postulat,' ut ait Terentius",MODERATELY POSITIVE
"Cum Patrone Epicurio mihi omnia sunt, nisi quod in philosophia vehementer ab eo dissentio.",MODERATELY NEGATIVE
"Is igitur Patro cum ad me Romam litteras misisset, uti te sibi placarem peteremque, ut nescio quid illud Epicuri parietinarum sibi concederes, nihil scripsi ad te ob earn rem, quod aedificationis tuae consilium commendatione mea nolebam impedi ri.",MODERATELY NEGATIVE
"quamquam Patronis et orationem et causam tibi cognitam esse certo scio; honorem, officium, testamentorum ius, Epicuri auctoritatem, Phaedri obtestationem, sedem, domicilium, vestigia summorum hominum sibi tuenda esse dicit.",MODERATELY POSITIVE
itaque ab Homeri magniloquentia confero me ad vera praecepta Euripidi,MODERATELY POSITIVE
"eius libertum, T. Ampium Menandrum, hominem frugi et modestum et patrono et nobis vehementer probatum, tibi commendo maiorem in modum.",MODERATELY POSITIVE
"Laetus sum laudari me', inquit Hector, opinor, apud Naevium, 'abs te, pater, a laudato viro.' ea est enim profecto iucunda laus, quae ab iis proficiscitur, qui ipsi in laude vixerunt.",MODERATELY POSITIVE
"itaque facio me alias res agere, ne convicium Platonis audiam.",MODERATELY NEGATIVE
"ipse enim Epicurus, a quo omnes Catii et Amafinii, mali verborum interpretes, proficiscuntur, dicit :",EXTREMELY POSITIVE
"'' inquit Euripides; cui tu quantum credas, nescio; ego certe singulos eius versus singula testimonia puto,",EXTREMELY POSITIVE
"summa cura exspectabam adventum Menandri, quem ad te miseram.",MODERATELY NEGATIVE
"Horologium mittam et libros, si erit sudum. sed tu nullosne tecum libellos? an pangis aliquid Sophocleum? fac opus appareat.",MODERATELY NEGATIVE
Tulliolam С. Pisoni L. f. Frugi despondimus.,MODERATELY NEGATIVE
"rei publicae statum illum, quem tu meo consilio, ego divino confirmatum putabam, qui bonorum omnium coniunctione et auctoritate consulatus mei fixus et fundatus videbatur, nisi quis nos deus respexerit, elapsum scito esse de manibus uno hoc iudicio, si iudicium est triginta homines populi Romani levissimos ac nequissimos nummulis acceptis ius ac fas omne delere et, quod omnes non modo homines verum etiam pecudes factum esse sciant, id Thalnam et Plautum et Spongiam et ceteras huius modi quisquilias statuere numquam esse factum.",EXTREMELY NEGATIVE
"Epigrammatis tuis, quae in Amaltheo posuisti, contenti erimus, praesertim cum et Thyillus nos reliquerit et Archias nihil de me scripserit;",MODERATELY NEGATIVE
"ac vereor ne, Lucullis quoniam Graecum poema condidit, nunc ad Caecilianam fabulam spectet.",MODERATELY NEGATIVE
"atque ita tamen istis novis amicitiis implicati sumus, ut crebro mihi vafer ille Siculus insusurret Epicharmus cantilenam illam suam:",EXTREMELY POSITIVE
"nam, ut ait Rhinton, ut opinor,",EXTREMELY POSITIVE
meus autem liber totum Isocrati myrothecium atque omnes eius discipulorum arculas ac non nihil etiam Aristotelia pigmenta consumpsit.,MODERATELY NEGATIVE
meus autem liber totum Isocrati myrothecium atque omnes eius discipulorum arculas ac non nihil etiam Aristotelia pigmenta consumpsit.,MODERATELY NEGATIVE
"dicit enim tamquam in Platonis politeia, non tamquam in Romuli faece sententiam.",MODERATELY NEGATIVE
"am pridem gubemare me taedebat, etiam cum licebat; nunc vero, cum cogar exire de navi non abiectis sed ereptís gubernaculis, cupio istorum nauftagia ex terra intueri; cupio, ut ait tuus amicus Sophocles,",EXTREMELY POSITIVE
comitia Bibulus cum Archilochio edicto in ante diem XV Kal. Nov. distulit.,MODERATELY NEGATIVE
"Itaque Archilochia in illum edicta Bibuli populo ita sunt iucunda, ut eum locum, ubi proponuntur, prae multitudine eorum, qui legunt, transiré nequeamus",EXTREMELY POSITIVE
"sed mehercule ut a ceteris oblectationibus deseror et taedet voluptatum propter rem publicam, sic litteris sustentor et recreor maloque in illa tua sedecula, quam habes sub imagine Aristotelis, sedere quam in istorum sella curuli tecumque apud te ambulare quam cum eo, quocum video esse ambulandum.",MODERATELY NEGATIVE
"itaque cogitabam, quoniam in singulis libris utor prohoemiis ut Aristoteles in iis, quos '' vocat, aliquid efficere, ut non sine causa istum appellarem, id quod intellego tibi piacere.",MODERATELY POSITIVE
"Quod in iis libris, quos laudas, personam desideras Scaevolae, non eam temere dimovi, sed feci idem, quod in politeia deus ille noster Plato.",MODERATELY POSITIVE
