Author,Title,Era,Locus,Text,Poetry/Prose
"Plautus","Truculentus","Republic","","et Homeronida et postilla mille memorari pote,","Poetry"
"Ennius","Annales","Republic","","uisus Homerus adesse poeta","Poetry"
"Lucretius","De Rerum Natura, Book 1","Republic","","unde sibi exortam semper florentis Homeri","Poetry"
"Lucretius","De Rerum Natura, Book 3","Republic","","adde Heliconiadum comites; quorum unus Homerus","Poetry"
"Lucretius","De Rerum Natura","Republic","","Vnde sibi exortam semper florentis Homeri","Poetry"
"Lucretius","De Rerum Natura","Republic","","Adde Heliconiadum comites; quorum unus Homerus","Poetry"
"Cicero","Pro Archia","Republic","","...flectuntur atque consistunt; nos instituti rebus optimis non poetarum voce moveamur? Homerum Colophonii civem esse dicunt suum, Chii suum vindicant, Salaminii repetunt, Smyrnaei...","Poetry"
"Cicero","Pro Archia","Republic","","...Achillis tumulum astitisset: 'o fortunate,' inquit, 'adulescens, qui tuae virtutis Homerum praeconem inveneris!' et vere. nam, nisi Ilias illa exstitisset, idem tumulus qui...","Poetry"
"Cicero","Letters To Atticus, Book 9","Republic","","...agi, nihil actum ab initio, nisi ut hunc occideret. ego igitur, sicut ille apud Homerum cui et mater et dea dixisset,  αὐτίκα γάρ τοι ἔπειτα μεθ' ̔́Εκτορα πότμος...","Poetry"
"Cicero","Letters To Atticus","Republic","","...agi, nihil actum ab initio, nisi ut hunc occideret. ego igitur, sicut ille apud Homerum cui et mater et dea dixisset,  αὐτίκα γάρ τοι ἔπειτα μεθ' ̔́Εκτορα πότμος...","Poetry"
"Cicero","Letters To Atticus, Book 9","Republic","","...aut litteris Caesarem Formiis a. d. xi Kal. Aprilis fore. hic ego vellem habere Homeri illam Minervam simulatam Mentori cui dicerem, Μέντορ, πῶς τ' ἄρ' ἴω, πῶς...","Poetry"
"Cicero","Letters To Atticus","Republic","","...aut litteris Caesarem Formiis a. d. xi Kal. Aprilis fore. hic ego vellem habere Homeri illam Minervam simulatam Mentori cui dicerem, Μέντορ, πῶς τ' ἄρ' ἴω, πῶς...","Poetry"
